type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.3,912.85009765625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.35,950.995947265625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.4,981.773828125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.45,996.3593994140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.5,1015.8251953125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.55,1037.2425537109375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.6,1060.344140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.65,1089.3837402343752,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.7,1146.3064453125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.75,1177.25048828125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.8,1212.7955078125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.85,1229.23486328125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.9,1297.2818359375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.95,1400.1100341796875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.975,1434.2680175781247,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.99,1457.4879003906253,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.01,754.8777099609375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.025,760.6455810546875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.05,800.1960693359375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.1,849.467626953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.15,904.6256103515625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.2,947.5890625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.25,963.2152099609375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.3,989.3451171875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.35,1033.3312255859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.4,1071.744140625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.45,1091.53134765625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.5,1110.76123046875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.55,1140.0861328125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.6,1160.206640625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.65,1206.4364501953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.7,1267.438671875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.75,1296.245361328125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.8,1340.4681640625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.85,1360.630810546875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.9,1440.4246093750003,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.95,1555.1089355468748,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.975,1607.7968261718747,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.99,1638.5400878906253,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
