Report Date,Age Group,Fatality Count,Percent
06/28/2022,50 to 59,4850,8.6
06/28/2022,60 to 69,10213,18.1
06/28/2022,70 to 79,14609,25.8
06/28/2022,80 to 89,15083,26.6
06/28/2022,90 and Over,9002,15.9
06/28/2022,Unknown,9,0
06/28/2022,Statewide Total,56544,100
06/27/2022,0 to 9,31,0.1
06/27/2022,10 to 19,32,0.1
06/27/2022,20 to 29,238,0.4
06/27/2022,30 to 39,725,1.3
06/27/2022,40 to 49,1752,3.1
06/27/2022,50 to 59,4850,8.6
06/27/2022,60 to 69,10208,18.1
06/27/2022,70 to 79,14605,25.8
06/27/2022,80 to 89,15082,26.6
06/27/2022,90 and Over,9000,15.9
06/27/2022,Unknown,9,0
06/27/2022,Statewide Total,56532,100
06/24/2022,0 to 9,31,0.1
06/24/2022,10 to 19,32,0.1
06/24/2022,20 to 29,238,0.4
06/24/2022,30 to 39,724,1.3
06/24/2022,40 to 49,1749,3.1
06/24/2022,50 to 59,4847,8.6
06/24/2022,60 to 69,10200,18.1
06/24/2022,70 to 79,14597,25.8
06/24/2022,80 to 89,15073,26.6
06/24/2022,90 and Over,8995,15.9
06/24/2022,Unknown,9,0
06/24/2022,Statewide Total,56495,100
06/23/2022,0 to 9,31,0.1
06/23/2022,10 to 19,32,0.1
06/23/2022,20 to 29,238,0.4
06/23/2022,30 to 39,724,1.3
06/23/2022,40 to 49,1749,3.1
06/23/2022,50 to 59,4846,8.6
06/23/2022,60 to 69,10197,18.1
06/23/2022,70 to 79,14595,25.8
06/23/2022,80 to 89,15068,26.6
06/23/2022,90 and Over,8993,15.9
06/23/2022,Unknown,9,0
06/23/2022,Statewide Total,56482,100
06/22/2022,0 to 9,31,0.1
06/22/2022,10 to 19,32,0.1
06/22/2022,20 to 29,238,0.4
06/22/2022,30 to 39,724,1.3
06/22/2022,40 to 49,1749,3.1
06/22/2022,50 to 59,4845,8.6
06/22/2022,60 to 69,10193,18.1
06/22/2022,70 to 79,14590,25.8
06/22/2022,80 to 89,15063,26.6
06/22/2022,90 and Over,8990,15.9
06/22/2022,Unknown,9,0
06/22/2022,Statewide Total,56464,100
06/21/2022,0 to 9,31,0.1
06/21/2022,10 to 19,32,0.1
06/21/2022,20 to 29,237,0.4
06/21/2022,30 to 39,723,1.3
06/21/2022,40 to 49,1749,3.1
06/21/2022,50 to 59,4844,8.6
06/21/2022,60 to 69,10190,18.1
06/21/2022,70 to 79,14584,25.8
06/21/2022,80 to 89,15058,26.6
06/21/2022,90 and Over,8985,15.9
06/21/2022,Unknown,9,0
06/21/2022,Statewide Total,56442,100
06/17/2022,0 to 9,31,0.1
06/17/2022,10 to 19,32,0.1
06/17/2022,20 to 29,235,0.4
06/17/2022,30 to 39,723,1.3
06/17/2022,40 to 49,1749,3.1
06/17/2022,50 to 59,4844,8.6
06/17/2022,60 to 69,10185,18.1
06/17/2022,70 to 79,14573,25.8
06/17/2022,80 to 89,15040,26.6
06/17/2022,90 and Over,8976,15.9
06/17/2022,Unknown,9,0
06/17/2022,Statewide Total,56397,100
06/16/2022,0 to 9,31,0.1
06/16/2022,10 to 19,32,0.1
06/16/2022,20 to 29,234,0.4
06/16/2022,30 to 39,723,1.3
06/16/2022,40 to 49,1749,3.1
06/16/2022,50 to 59,4844,8.6
06/16/2022,60 to 69,10182,18.1
06/16/2022,70 to 79,14567,25.8
06/16/2022,80 to 89,15036,26.6
06/16/2022,90 and Over,8968,15.9
06/16/2022,Unknown,9,0
06/16/2022,Statewide Total,56375,100
06/15/2022,0 to 9,31,0.1
06/15/2022,10 to 19,32,0.1
06/15/2022,20 to 29,234,0.4
06/15/2022,30 to 39,723,1.3
06/15/2022,40 to 49,1749,3.1
06/15/2022,50 to 59,4842,8.6
06/15/2022,60 to 69,10176,18.1
06/15/2022,70 to 79,14565,25.8
06/15/2022,80 to 89,15035,26.6
06/15/2022,90 and Over,8964,15.9
06/15/2022,Unknown,9,0
06/15/2022,Statewide Total,56360,100
06/14/2022,0 to 9,31,0.1
06/14/2022,10 to 19,32,0.1
06/14/2022,20 to 29,234,0.4
06/14/2022,30 to 39,723,1.3
06/14/2022,40 to 49,1749,3.1
06/14/2022,50 to 59,4842,8.6
06/14/2022,60 to 69,10173,18.1
06/14/2022,70 to 79,14564,25.8
06/14/2022,80 to 89,15034,26.6
06/14/2022,90 and Over,8961,15.9
06/14/2022,Unknown,9,0
06/14/2022,Statewide Total,56352,100
06/13/2022,0 to 9,31,0.1
06/13/2022,10 to 19,32,0.1
06/13/2022,20 to 29,234,0.4
06/13/2022,30 to 39,723,1.3
06/13/2022,40 to 49,1749,3.1
06/13/2022,50 to 59,4841,8.6
06/13/2022,60 to 69,10173,18.1
06/13/2022,70 to 79,14561,25.8
06/13/2022,80 to 89,15033,26.6
06/13/2022,90 and Over,8959,15.9
06/13/2022,Unknown,9,0
06/13/2022,Statewide Total,56345,100
06/10/2022,0 to 9,31,0.1
06/10/2022,10 to 19,32,0.1
06/10/2022,20 to 29,234,0.4
06/10/2022,30 to 39,723,1.3
06/10/2022,40 to 49,1748,3.1
06/10/2022,50 to 59,4841,8.6
06/10/2022,60 to 69,10164,18.1
06/10/2022,70 to 79,14546,25.8
06/10/2022,80 to 89,15026,26.6
06/10/2022,90 and Over,8952,15.9
06/10/2022,Unknown,9,0
06/10/2022,Statewide Total,56306,100
06/09/2022,0 to 9,31,0.1
06/09/2022,10 to 19,32,0.1
06/09/2022,20 to 29,234,0.4
06/09/2022,30 to 39,723,1.3
06/09/2022,40 to 49,1748,3.1
06/09/2022,50 to 59,4841,8.6
06/09/2022,60 to 69,10160,18.1
06/09/2022,70 to 79,14542,25.8
06/09/2022,80 to 89,15021,26.6
06/09/2022,90 and Over,8948,15.9
06/09/2022,Unknown,9,0
06/09/2022,Statewide Total,56289,100
06/08/2022,0 to 9,31,0.1
06/08/2022,10 to 19,32,0.1
06/08/2022,20 to 29,234,0.4
06/08/2022,30 to 39,722,1.3
06/08/2022,40 to 49,1748,3.1
06/08/2022,50 to 59,4840,8.6
06/08/2022,60 to 69,10159,18.1
06/08/2022,70 to 79,14533,25.8
06/08/2022,80 to 89,15018,26.6
06/08/2022,90 and Over,8946,15.9
06/08/2022,Unknown,9,0
06/08/2022,Statewide Total,56272,100
06/07/2022,0 to 9,31,0.1
06/07/2022,10 to 19,32,0.1
06/07/2022,20 to 29,234,0.4
06/07/2022,30 to 39,721,1.3
06/07/2022,40 to 49,1747,3.1
06/07/2022,50 to 59,4839,8.6
06/07/2022,60 to 69,10157,18.1
06/07/2022,70 to 79,14527,25.8
06/07/2022,80 to 89,15015,26.6
06/07/2022,90 and Over,8943,15.9
06/07/2022,Unknown,9,0
06/07/2022,Statewide Total,56255,100
06/06/2022,0 to 9,31,0.1
06/06/2022,10 to 19,32,0.1
06/06/2022,20 to 29,234,0.4
06/06/2022,30 to 39,721,1.3
06/06/2022,40 to 49,1747,3.1
06/06/2022,50 to 59,4834,8.6
06/06/2022,60 to 69,10155,18.1
06/06/2022,70 to 79,14526,25.8
06/06/2022,80 to 89,15010,26.6
06/06/2022,90 and Over,8932,15.9
06/06/2022,Unknown,9,0
06/06/2022,Statewide Total,56231,100
06/05/2022,0 to 9,31,0.1
06/05/2022,10 to 19,32,0.1
06/05/2022,20 to 29,234,0.4
06/05/2022,30 to 39,721,1.3
06/05/2022,40 to 49,1747,3.1
06/05/2022,50 to 59,4833,8.6
06/05/2022,60 to 69,10152,18.1
06/05/2022,70 to 79,14519,25.8
06/05/2022,80 to 89,15005,26.6
06/05/2022,90 and Over,8928,15.9
06/05/2022,Unknown,9,0
06/05/2022,Statewide Total,56211,100
06/04/2022,0 to 9,31,0.1
06/04/2022,10 to 19,32,0.1
06/04/2022,20 to 29,234,0.4
06/04/2022,30 to 39,721,1.3
06/04/2022,40 to 49,1747,3.1
06/04/2022,50 to 59,4833,8.6
06/04/2022,60 to 69,10150,18.1
06/04/2022,70 to 79,14515,25.8
06/04/2022,80 to 89,15004,26.6
06/04/2022,90 and Over,8924,15.9
06/04/2022,Unknown,9,0
06/04/2022,Statewide Total,56200,100
06/03/2022,0 to 9,31,0.1
06/03/2022,10 to 19,32,0.1
06/03/2022,20 to 29,234,0.4
06/03/2022,30 to 39,721,1.3
06/03/2022,40 to 49,1747,3.1
06/03/2022,50 to 59,4830,8.6
06/03/2022,60 to 69,10147,18.1
06/03/2022,70 to 79,14512,25.8
06/03/2022,80 to 89,14999,26.6
06/03/2022,90 and Over,8922,15.9
06/03/2022,Unknown,9,0
06/03/2022,Statewide Total,56184,100
06/02/2022,0 to 9,31,0.1
06/02/2022,10 to 19,32,0.1
06/02/2022,20 to 29,234,0.4
06/02/2022,30 to 39,720,1.3
06/02/2022,40 to 49,1745,3.1
06/02/2022,50 to 59,4829,8.6
06/02/2022,60 to 69,10145,18.1
06/02/2022,70 to 79,14504,25.8
06/02/2022,80 to 89,14990,26.6
06/02/2022,90 and Over,8912,15.9
06/02/2022,Unknown,9,0
06/02/2022,Statewide Total,56151,100
06/01/2022,0 to 9,31,0.1
06/01/2022,10 to 19,32,0.1
06/01/2022,20 to 29,233,0.4
06/01/2022,30 to 39,719,1.3
06/01/2022,40 to 49,1743,3.1
06/01/2022,50 to 59,4828,8.6
06/01/2022,60 to 69,10143,18.1
06/01/2022,70 to 79,14500,25.8
06/01/2022,80 to 89,14985,26.6
06/01/2022,90 and Over,8905,15.9
06/01/2022,Unknown,9,0
06/01/2022,Statewide Total,56128,100
05/31/2022,0 to 9,31,0.1
05/31/2022,10 to 19,32,0.1
05/31/2022,20 to 29,232,0.4
05/31/2022,30 to 39,719,1.3
05/31/2022,40 to 49,1743,3.1
05/31/2022,50 to 59,4827,8.6
05/31/2022,60 to 69,10141,18.1
05/31/2022,70 to 79,14493,25.8
05/31/2022,80 to 89,14981,26.6
05/31/2022,90 and Over,8898,15.9
05/31/2022,Unknown,9,0
05/31/2022,Statewide Total,56106,100
05/27/2022,0 to 9,31,0.1
05/27/2022,10 to 19,32,0.1
05/27/2022,20 to 29,232,0.4
05/27/2022,30 to 39,719,1.3
05/27/2022,40 to 49,1743,3.1
05/27/2022,50 to 59,4825,8.6
05/27/2022,60 to 69,10134,18.1
05/27/2022,70 to 79,14481,25.8
05/27/2022,80 to 89,14965,26.6
05/27/2022,90 and Over,8882,15.9
05/27/2022,Unknown,9,0
05/27/2022,Statewide Total,56053,100
05/26/2022,0 to 9,31,0.1
05/26/2022,10 to 19,32,0.1
05/26/2022,20 to 29,232,0.4
05/26/2022,30 to 39,719,1.3
05/26/2022,40 to 49,1742,3.1
05/26/2022,50 to 59,4823,8.6
05/26/2022,60 to 69,10133,18.1
05/26/2022,70 to 79,14476,25.8
05/26/2022,80 to 89,14953,26.7
05/26/2022,90 and Over,8877,15.8
05/26/2022,Unknown,9,0
05/26/2022,Statewide Total,56027,100
05/25/2022,0 to 9,31,0.1
05/25/2022,10 to 19,32,0.1
05/25/2022,20 to 29,232,0.4
05/25/2022,30 to 39,719,1.3
05/25/2022,40 to 49,1741,3.1
05/25/2022,50 to 59,4822,8.6
05/25/2022,60 to 69,10128,18.1
05/25/2022,70 to 79,14468,25.8
05/25/2022,80 to 89,14948,26.6
05/25/2022,90 and Over,8874,15.9
05/25/2022,Unknown,9,0
05/25/2022,Statewide Total,56004,100
05/24/2022,0 to 9,31,0.1
05/24/2022,10 to 19,32,0.1
05/24/2022,20 to 29,232,0.4
05/24/2022,30 to 39,719,1.3
05/24/2022,40 to 49,1741,3.1
05/24/2022,50 to 59,4822,8.6
05/24/2022,60 to 69,10128,18.1
05/24/2022,70 to 79,14462,25.8
05/24/2022,80 to 89,14941,26.7
05/24/2022,90 and Over,8871,15.8
05/24/2022,Unknown,9,0
05/24/2022,Statewide Total,55988,100
05/23/2022,0 to 9,31,0.1
05/23/2022,10 to 19,32,0.1
05/23/2022,20 to 29,232,0.4
05/23/2022,30 to 39,719,1.3
05/23/2022,40 to 49,1741,3.1
05/23/2022,50 to 59,4821,8.6
05/23/2022,60 to 69,10126,18.1
05/23/2022,70 to 79,14457,25.8
05/23/2022,80 to 89,14931,26.6
05/23/2022,90 and Over,8871,15.9
05/23/2022,Unknown,9,0
05/23/2022,Statewide Total,55970,100
05/22/2022,0 to 9,31,0.1
05/22/2022,10 to 19,32,0.1
05/22/2022,20 to 29,232,0.4
05/22/2022,30 to 39,719,1.3
05/22/2022,40 to 49,1741,3.1
05/22/2022,50 to 59,4821,8.6
05/22/2022,60 to 69,10123,18.1
05/22/2022,70 to 79,14450,25.8
05/22/2022,80 to 89,14924,26.7
05/22/2022,90 and Over,8862,15.8
05/22/2022,Unknown,9,0
05/22/2022,Statewide Total,55944,100
05/21/2022,0 to 9,31,0.1
05/21/2022,10 to 19,32,0.1
05/21/2022,20 to 29,232,0.4
05/21/2022,30 to 39,719,1.3
05/21/2022,40 to 49,1739,3.1
05/21/2022,50 to 59,4821,8.6
05/21/2022,60 to 69,10122,18.1
05/21/2022,70 to 79,14445,25.8
05/21/2022,80 to 89,14911,26.7
05/21/2022,90 and Over,8856,15.8
05/21/2022,Unknown,9,0
05/21/2022,Statewide Total,55917,100
05/20/2022,0 to 9,31,0.1
05/20/2022,10 to 19,31,0.1
05/20/2022,20 to 29,232,0.4
05/20/2022,30 to 39,719,1.3
05/20/2022,40 to 49,1739,3.1
05/20/2022,50 to 59,4821,8.6
05/20/2022,60 to 69,10121,18.1
05/20/2022,70 to 79,14442,25.8
05/20/2022,80 to 89,14904,26.7
05/20/2022,90 and Over,8852,15.8
05/20/2022,Unknown,9,0
05/20/2022,Statewide Total,55901,100
05/19/2022,0 to 9,31,0.1
05/19/2022,10 to 19,31,0.1
05/19/2022,20 to 29,232,0.4
05/19/2022,30 to 39,719,1.3
05/19/2022,40 to 49,1739,3.1
05/19/2022,50 to 59,4819,8.6
05/19/2022,60 to 69,10114,18.1
05/19/2022,70 to 79,14438,25.8
05/19/2022,80 to 89,14894,26.7
05/19/2022,90 and Over,8851,15.8
05/19/2022,Unknown,9,0
05/19/2022,Statewide Total,55877,100
05/18/2022,0 to 9,31,0.1
05/18/2022,10 to 19,31,0.1
05/18/2022,20 to 29,231,0.4
05/18/2022,30 to 39,718,1.3
05/18/2022,40 to 49,1739,3.1
05/18/2022,50 to 59,4819,8.6
05/18/2022,60 to 69,10110,18.1
05/18/2022,70 to 79,14428,25.8
05/18/2022,80 to 89,14888,26.7
05/18/2022,90 and Over,8850,15.8
05/18/2022,Unknown,9,0
05/18/2022,Statewide Total,55854,100
05/17/2022,0 to 9,31,0.1
05/17/2022,10 to 19,31,0.1
05/17/2022,20 to 29,231,0.4
05/17/2022,30 to 39,718,1.3
05/17/2022,40 to 49,1739,3.1
05/17/2022,50 to 59,4818,8.6
05/17/2022,60 to 69,10106,18.1
05/17/2022,70 to 79,14423,25.8
05/17/2022,80 to 89,14880,26.6
05/17/2022,90 and Over,8849,15.9
05/17/2022,Unknown,9,0
05/17/2022,Statewide Total,55835,100
05/16/2022,0 to 9,31,0.1
05/16/2022,10 to 19,31,0.1
05/16/2022,20 to 29,231,0.4
05/16/2022,30 to 39,718,1.3
05/16/2022,40 to 49,1739,3.1
05/16/2022,50 to 59,4818,8.6
05/16/2022,60 to 69,10104,18.1
05/16/2022,70 to 79,14420,25.8
05/16/2022,80 to 89,14868,26.6
05/16/2022,90 and Over,8847,15.9
05/16/2022,Unknown,9,0
05/16/2022,Statewide Total,55816,100
05/15/2022,0 to 9,31,0.1
05/15/2022,10 to 19,31,0.1
05/15/2022,20 to 29,231,0.4
05/15/2022,30 to 39,717,1.3
05/15/2022,40 to 49,1739,3.1
05/15/2022,50 to 59,4816,8.6
05/15/2022,60 to 69,10102,18.1
05/15/2022,70 to 79,14414,25.8
05/15/2022,80 to 89,14860,26.6
05/15/2022,90 and Over,8842,15.9
05/15/2022,Unknown,9,0
05/15/2022,Statewide Total,55792,100
05/14/2022,0 to 9,31,0.1
05/14/2022,10 to 19,31,0.1
05/14/2022,20 to 29,231,0.4
05/14/2022,30 to 39,717,1.3
05/14/2022,40 to 49,1738,3.1
05/14/2022,50 to 59,4814,8.6
05/14/2022,60 to 69,10100,18.1
05/14/2022,70 to 79,14406,25.8
05/14/2022,80 to 89,14850,26.7
05/14/2022,90 and Over,8835,15.8
05/14/2022,Unknown,9,0
05/14/2022,Statewide Total,55762,100
05/13/2022,0 to 9,31,0.1
05/13/2022,10 to 19,31,0.1
05/13/2022,20 to 29,231,0.4
05/13/2022,30 to 39,717,1.3
05/13/2022,40 to 49,1737,3.1
05/13/2022,50 to 59,4813,8.6
05/13/2022,60 to 69,10097,18.1
05/13/2022,70 to 79,14400,25.8
05/13/2022,80 to 89,14844,26.7
05/13/2022,90 and Over,8832,15.8
05/13/2022,Unknown,9,0
05/13/2022,Statewide Total,55742,100
05/12/2022,0 to 9,31,0.1
05/12/2022,10 to 19,31,0.1
05/12/2022,20 to 29,231,0.4
05/12/2022,30 to 39,717,1.3
05/12/2022,40 to 49,1736,3.1
05/12/2022,50 to 59,4812,8.6
05/12/2022,60 to 69,10090,18.1
05/12/2022,70 to 79,14394,25.8
05/12/2022,80 to 89,14840,26.7
05/12/2022,90 and Over,8824,15.8
05/12/2022,Unknown,9,0
05/12/2022,Statewide Total,55715,100
05/11/2022,0 to 9,31,0.1
05/11/2022,10 to 19,31,0.1
05/11/2022,20 to 29,231,0.4
05/11/2022,30 to 39,717,1.3
05/11/2022,40 to 49,1736,3.1
05/11/2022,50 to 59,4810,8.6
05/11/2022,60 to 69,10086,18.1
05/11/2022,70 to 79,14387,25.8
05/11/2022,80 to 89,14832,26.7
05/11/2022,90 and Over,8820,15.8
05/11/2022,Unknown,9,0
05/11/2022,Statewide Total,55690,100
05/10/2022,0 to 9,31,0.1
05/10/2022,10 to 19,31,0.1
05/10/2022,20 to 29,231,0.4
05/10/2022,30 to 39,717,1.3
05/10/2022,40 to 49,1735,3.1
05/10/2022,50 to 59,4809,8.6
05/10/2022,60 to 69,10084,18.1
05/10/2022,70 to 79,14385,25.8
05/10/2022,80 to 89,14824,26.7
05/10/2022,90 and Over,8816,15.8
05/10/2022,Unknown,9,0
05/10/2022,Statewide Total,55672,100
05/09/2022,0 to 9,31,0.1
05/09/2022,10 to 19,31,0.1
05/09/2022,20 to 29,231,0.4
05/09/2022,30 to 39,717,1.3
05/09/2022,40 to 49,1735,3.1
05/09/2022,50 to 59,4808,8.6
05/09/2022,60 to 69,10081,18.1
05/09/2022,70 to 79,14379,25.8
05/09/2022,80 to 89,14814,26.7
05/09/2022,90 and Over,8811,15.8
05/09/2022,Unknown,9,0
05/09/2022,Statewide Total,55647,100
05/08/2022,0 to 9,31,0.1
05/08/2022,10 to 19,31,0.1
05/08/2022,20 to 29,231,0.4
05/08/2022,30 to 39,717,1.3
05/08/2022,40 to 49,1735,3.1
05/08/2022,50 to 59,4807,8.6
05/08/2022,60 to 69,10077,18.1
05/08/2022,70 to 79,14371,25.8
05/08/2022,80 to 89,14808,26.7
05/08/2022,90 and Over,8808,15.8
05/08/2022,Unknown,9,0
05/08/2022,Statewide Total,55625,100
05/07/2022,0 to 9,31,0.1
05/07/2022,10 to 19,31,0.1
05/07/2022,20 to 29,231,0.4
05/07/2022,30 to 39,717,1.3
05/07/2022,40 to 49,1735,3.1
05/07/2022,50 to 59,4806,8.6
05/07/2022,60 to 69,10076,18.1
05/07/2022,70 to 79,14368,25.8
05/07/2022,80 to 89,14804,26.7
05/07/2022,90 and Over,8799,15.8
05/07/2022,Unknown,9,0
05/07/2022,Statewide Total,55607,100
05/06/2022,0 to 9,31,0.1
05/06/2022,10 to 19,31,0.1
05/06/2022,20 to 29,231,0.4
05/06/2022,30 to 39,717,1.3
05/06/2022,40 to 49,1735,3.1
05/06/2022,50 to 59,4804,8.6
05/06/2022,60 to 69,10071,18.1
05/06/2022,70 to 79,14363,25.8
05/06/2022,80 to 89,14797,26.7
05/06/2022,90 and Over,8795,15.8
05/06/2022,Unknown,9,0
05/06/2022,Statewide Total,55584,100
05/05/2022,0 to 9,31,0.1
05/05/2022,10 to 19,31,0.1
05/05/2022,20 to 29,231,0.4
05/05/2022,30 to 39,716,1.3
05/05/2022,40 to 49,1734,3.1
05/05/2022,50 to 59,4802,8.6
05/05/2022,60 to 69,10071,18.1
05/05/2022,70 to 79,14360,25.8
05/05/2022,80 to 89,14794,26.7
05/05/2022,90 and Over,8792,15.8
05/05/2022,Unknown,9,0
05/05/2022,Statewide Total,55571,100
05/04/2022,0 to 9,31,0.1
05/04/2022,10 to 19,31,0.1
05/04/2022,20 to 29,231,0.4
05/04/2022,30 to 39,716,1.3
05/04/2022,40 to 49,1733,3.1
05/04/2022,50 to 59,4802,8.6
05/04/2022,60 to 69,10070,18.1
05/04/2022,70 to 79,14358,25.8
05/04/2022,80 to 89,14790,26.7
05/04/2022,90 and Over,8786,15.8
05/04/2022,Unknown,9,0
05/04/2022,Statewide Total,55557,100
05/03/2022,0 to 9,31,0.1
05/03/2022,10 to 19,31,0.1
05/03/2022,20 to 29,230,0.4
05/03/2022,30 to 39,715,1.3
05/03/2022,40 to 49,1733,3.1
05/03/2022,50 to 59,4802,8.7
05/03/2022,60 to 69,10068,18.1
05/03/2022,70 to 79,14350,25.8
05/03/2022,80 to 89,14787,26.6
05/03/2022,90 and Over,8780,15.8
05/03/2022,Unknown,9,0
05/03/2022,Statewide Total,55536,100
05/02/2022,0 to 9,31,0.1
05/02/2022,10 to 19,31,0.1
05/02/2022,20 to 29,230,0.4
05/02/2022,30 to 39,714,1.3
05/02/2022,40 to 49,1733,3.1
05/02/2022,50 to 59,4801,8.7
05/02/2022,60 to 69,10066,18.1
05/02/2022,70 to 79,14348,25.8
05/02/2022,80 to 89,14782,26.6
05/02/2022,90 and Over,8778,15.8
05/02/2022,Unknown,9,0
05/02/2022,Statewide Total,55523,100
05/01/2022,0 to 9,31,0.1
05/01/2022,10 to 19,31,0.1
05/01/2022,20 to 29,230,0.4
05/01/2022,30 to 39,713,1.3
05/01/2022,40 to 49,1733,3.1
05/01/2022,50 to 59,4801,8.7
05/01/2022,60 to 69,10065,18.1
05/01/2022,70 to 79,14348,25.9
05/01/2022,80 to 89,14775,26.5
05/01/2022,90 and Over,8772,15.8
05/01/2022,Unknown,9,0
05/01/2022,Statewide Total,55508,100
04/30/2022,0 to 9,31,0.1
04/30/2022,10 to 19,31,0.1
04/30/2022,20 to 29,230,0.4
04/30/2022,30 to 39,713,1.3
04/30/2022,40 to 49,1733,3.1
04/30/2022,50 to 59,4801,8.7
04/30/2022,60 to 69,10062,18.1
04/30/2022,70 to 79,14346,25.9
04/30/2022,80 to 89,14766,26.5
04/30/2022,90 and Over,8771,15.8
04/30/2022,Unknown,9,0
04/30/2022,Statewide Total,55493,100
04/29/2022,0 to 9,31,0.1
04/29/2022,10 to 19,31,0.1
04/29/2022,20 to 29,230,0.4
04/29/2022,30 to 39,713,1.3
04/29/2022,40 to 49,1733,3.1
04/29/2022,50 to 59,4801,8.7
04/29/2022,60 to 69,10058,18.1
04/29/2022,70 to 79,14345,25.9
04/29/2022,80 to 89,14762,26.5
04/29/2022,90 and Over,8769,15.8
04/29/2022,Unknown,9,0
04/29/2022,Statewide Total,55482,100
04/28/2022,0 to 9,31,0.1
04/28/2022,10 to 19,31,0.1
04/28/2022,20 to 29,230,0.4
04/28/2022,30 to 39,713,1.3
04/28/2022,40 to 49,1733,3.1
04/28/2022,50 to 59,4800,8.7
04/28/2022,60 to 69,10057,18.1
04/28/2022,70 to 79,14338,25.9
04/28/2022,80 to 89,14750,26.5
04/28/2022,90 and Over,8766,15.8
04/28/2022,Unknown,9,0
04/28/2022,Statewide Total,55458,100
04/27/2022,0 to 9,31,0.1
04/27/2022,10 to 19,31,0.1
04/27/2022,20 to 29,230,0.4
04/27/2022,30 to 39,713,1.3
04/27/2022,40 to 49,1733,3.1
04/27/2022,50 to 59,4796,8.7
04/27/2022,60 to 69,10055,18.1
04/27/2022,70 to 79,14337,25.9
04/27/2022,80 to 89,14746,26.5
04/27/2022,90 and Over,8764,15.8
04/27/2022,Unknown,9,0
04/27/2022,Statewide Total,55445,100
04/26/2022,0 to 9,31,0.1
04/26/2022,10 to 19,31,0.1
04/26/2022,20 to 29,230,0.4
04/26/2022,30 to 39,713,1.3
04/26/2022,40 to 49,1730,3.1
04/26/2022,50 to 59,4796,8.7
04/26/2022,60 to 69,10055,18.1
04/26/2022,70 to 79,14332,25.9
04/26/2022,80 to 89,14742,26.5
04/26/2022,90 and Over,8758,15.8
04/26/2022,Unknown,9,0
04/26/2022,Statewide Total,55427,100
04/25/2022,0 to 9,31,0.1
04/25/2022,10 to 19,31,0.1
04/25/2022,20 to 29,230,0.4
04/25/2022,30 to 39,712,1.3
04/25/2022,40 to 49,1730,3.1
04/25/2022,50 to 59,4796,8.7
04/25/2022,60 to 69,10054,18.2
04/25/2022,70 to 79,14324,25.8
04/25/2022,80 to 89,14739,26.5
04/25/2022,90 and Over,8752,15.8
04/25/2022,Unknown,9,0
04/25/2022,Statewide Total,55408,100
04/24/2022,0 to 9,31,0.1
04/24/2022,10 to 19,31,0.1
04/24/2022,20 to 29,230,0.4
04/24/2022,30 to 39,712,1.3
04/24/2022,40 to 49,1729,3.1
04/24/2022,50 to 59,4795,8.7
04/24/2022,60 to 69,10051,18.1
04/24/2022,70 to 79,14324,25.9
04/24/2022,80 to 89,14734,26.5
04/24/2022,90 and Over,8748,15.8
04/24/2022,Unknown,9,0
04/24/2022,Statewide Total,55394,100
04/23/2022,0 to 9,30,0.1
04/23/2022,10 to 19,31,0.1
04/23/2022,20 to 29,230,0.4
04/23/2022,30 to 39,712,1.3
04/23/2022,40 to 49,1729,3.1
04/23/2022,50 to 59,4794,8.7
04/23/2022,60 to 69,10050,18.2
04/23/2022,70 to 79,14323,25.8
04/23/2022,80 to 89,14732,26.5
04/23/2022,90 and Over,8743,15.8
04/23/2022,Unknown,9,0
04/23/2022,Statewide Total,55383,100
04/22/2022,0 to 9,30,0.1
04/22/2022,10 to 19,31,0.1
04/22/2022,20 to 29,230,0.4
04/22/2022,30 to 39,712,1.3
04/22/2022,40 to 49,1729,3.1
04/22/2022,50 to 59,4792,8.7
04/22/2022,60 to 69,10047,18.2
04/22/2022,70 to 79,14320,25.8
04/22/2022,80 to 89,14723,26.5
04/22/2022,90 and Over,8743,15.8
04/22/2022,Unknown,9,0
04/22/2022,Statewide Total,55366,100
04/21/2022,0 to 9,30,0.1
04/21/2022,10 to 19,31,0.1
04/21/2022,20 to 29,230,0.4
04/21/2022,30 to 39,712,1.3
04/21/2022,40 to 49,1729,3.1
04/21/2022,50 to 59,4792,8.7
04/21/2022,60 to 69,10046,18.2
04/21/2022,70 to 79,14314,25.8
04/21/2022,80 to 89,14722,26.5
04/21/2022,90 and Over,8743,15.8
04/21/2022,Unknown,9,0
04/21/2022,Statewide Total,55358,100
04/20/2022,0 to 9,30,0.1
04/20/2022,10 to 19,31,0.1
04/20/2022,20 to 29,230,0.4
04/20/2022,30 to 39,712,1.3
04/20/2022,40 to 49,1728,3.1
04/20/2022,50 to 59,4791,8.7
04/20/2022,60 to 69,10045,18.2
04/20/2022,70 to 79,14312,25.8
04/20/2022,80 to 89,14721,26.5
04/20/2022,90 and Over,8739,15.8
04/20/2022,Unknown,9,0
04/20/2022,Statewide Total,55348,100
04/19/2022,0 to 9,30,0.1
04/19/2022,10 to 19,31,0.1
04/19/2022,20 to 29,230,0.4
04/19/2022,30 to 39,712,1.3
04/19/2022,40 to 49,1727,3.1
04/19/2022,50 to 59,4788,8.7
04/19/2022,60 to 69,10043,18.2
04/19/2022,70 to 79,14304,25.8
04/19/2022,80 to 89,14717,26.5
04/19/2022,90 and Over,8738,15.8
04/19/2022,Unknown,9,0
