"","t","S","E","I","R","city","county"
"1",0,999,1,0,0,1,"A"
"2",0.1,999,0.98,0.02,0,1,"A"
"3",0.2,998.998748134126,0.961651865874426,0.0394,2e-04,1,"A"
"4",0.3,998.996302983213,0.944863979469405,0.0582390373174885,0.000594,1,"A"
"5",0.4,998.992695282702,0.929574400390631,0.0765539265337017,0.00117639037317489,1,"A"
"6",0.5,998.987956114558,0.915722080527201,0.0943798752761773,0.0019419296385119,1,"A"
"7",0.6,998.98213183788,0.903231915595179,0.11175051813396,0.00288572839127368,1,"A"
"8",0.7,998.975187128742,0.892111986420632,0.128697651264524,0.00400323357261327,1,"A"
"9",0.8,998.967200902998,0.882255972436958,0.145252914480291,0.00529021008525851,1,"A"
"10",0.9,998.958165894085,0.873645861900548,0.161445504784227,0.00674273923006142,1,"A"
"11",1,998.948041360403,0.86629747834452,0.177303966974396,0.00835719427790369,1,"A"
"12",1.1,998.936805638404,0.8602072507772,0.192856876871542,0.0101302339476477,1,"A"
"13",1.2,998.924587892803,0.855220851362153,0.208132453118371,0.0120588027163631,1,"A"
"14",1.3,998.911259047358,0.851445279779641,0.22315554561443,0.0141401272475468,1,"A"
"15",1.4,998.89688028851,0.848795133032226,0.237952895753879,0.0163716827036911,1,"A"
"16",1.5,998.881487995071,0.8472115238109,0.252549269456985,0.0187512116612299,1,"A"
"17",1.6,998.865208881294,0.84654640711142,0.266968007238633,0.0212767043557997,1,"A"
"18",1.7,998.84790560863,0.84691875163318,0.281229255308475,0.023946384428186,1,"A"
"19",1.8,998.829644618621,0.848241366609971,0.295355337788054,0.0267586769812708,1,"A"
"20",1.9,998.81053769498,0.850383462918716,0.309366611742373,0.0297122303591513,1,"A"
"21",2,998.790490938515,0.853422550124867,0.323280614883323,0.0328058964765751,1,"A"
"22",2.1,998.769416540306,0.857428497332091,0.337116259736987,0.0360387026254083,1,"A"
"23",2.2,998.747304357081,0.862392110609673,0.350893667086259,0.0394098652227782,1,"A"
"24",2.3,998.723991752707,0.868456872771518,0.36463257262759,0.0429188018936408,1,"A"
"25",2.4,998.699981425672,0.875098062351787,0.378355384356745,0.0465651276199167,1,"A"
"26",2.5,998.67463795824,0.88293956853646,0.392073791760213,0.0503486814634841,1,"A"
"27",2.6,998.648120587662,0.891798147743825,0.40581184521334,0.0542694193810862,1,"A"
"28",2.7,998.620838142602,0.901244629849211,0.419589689716083,0.0583275378332196,1,"A"
"29",2.8,998.592322929328,0.911734950525375,0.433418685415906,0.0625234347303805,1,"A"
"30",2.9,998.562805983755,0.923017197088259,0.447319197572255,0.0668576215845395,1,"A"
"31",3,998.532779448325,0.934583388577065,0.461306349538297,0.0713308135602621,1,"A"
"32",3.1,998.501934177317,0.946736991812967,0.475384953814456,0.075943877055645,1,"A"
"33",3.2,998.470534406536,0.959202022757588,0.489565844112571,0.0806977265937896,1,"A"
"34",3.3,998.43818228218,0.972370106658322,0.503854226126597,0.0855933850349153,1,"A"
"35",3.4,998.404563739227,0.986541247478667,0.518263085998497,0.0906319272961813,1,"A"
"36",3.5,998.37044683441,1.00092732734608,0.532811280088085,0.0958145581561662,1,"A"
"37",3.6,998.33514505772,1.0162105574889,0.547501713834126,0.101142670957047,1,"A"
"38",3.7,998.29880570927,1.03222569478932,0.562350907845563,0.106617688095388,1,"A"
"39",3.8,998.261583828677,1.04880306148675,0.577371912662894,0.112241197173844,1,"A"
"40",3.9,998.223231984166,1.06617884476822,0.592574254766,0.118014916300473,1,"A"
"41",4,998.18371685103,1.08437040100854,0.607972089113704,0.123940658848133,1,"A"
"42",4.1,998.142801803936,1.10359804008275,0.623579776242738,0.13002037973927,1,"A"
"43",4.2,998.101038945192,1.12328893802454,0.639415939281965,0.136256177501697,1,"A"
"44",4.3,998.058923882517,1.14293822193899,0.655487558649637,0.142650336894517,1,"A"
"45",4.4,998.015939187578,1.16306415243916,0.67179144750192,0.149205212481013,1,"A"
"46",4.5,997.97184644301,1.18389561395809,0.688334816075684,0.155923126956033,1,"A"
"47",4.6,997.926952457768,1.20511168692096,0.705129380194089,0.162806475116789,1,"A"
"48",4.7,997.880966370618,1.22699554033248,0.722180320130567,0.16985776891873,1,"A"
"49",4.8,997.833171401288,1.25025059885663,0.739498427735911,0.177079572120036,1,"A"
"50",4.9,997.784532281504,1.27388470666292,0.757108455435685,0.184474556397395,1,"A"
"51",5,997.734872341831,1.29806695220339,0.775015065014586,0.192045640951752,1,"A"
"52",5.1,997.684661692335,1.3223162626551,0.793226253408508,0.199795791601898,1,"A"
"53",5.2,997.633154083238,1.34737754649884,0.811740316127525,0.207728054135983,1,"A"
"54",5.3,997.580477875446,1.373106203361,0.830570463896227,0.215845457297258,1,"A"
"55",5.4,997.52674488214,1.39937707259936,0.849726883324484,0.22415116193622,1,"A"
"56",5.5,997.471694691228,1.42643972205963,0.869217155943227,0.232648430769465,1,"A"
"57",5.6,997.415040231064,1.45456538778228,0.889053778824987,0.241340602328897,1,"A"
"58",5.7,997.357177960364,1.48333635072631,0.909254548792383,0.250231140117147,1,"A"
"59",5.8,997.297841688991,1.51300589508565,0.929828730318985,0.259323685605071,1,"A"
"60",5.9,997.23698397079,1.54360349538427,0.950790560917508,0.268621972908261,1,"A"
"61",5.99999999999999,997.174560977019,1.57515441924772,0.972154725216018,0.278129878517436,1,"A"
"62",6.09999999999999,997.110131475448,1.6080808324342,0.993936266348813,0.287851425769596,1,"A"
"63",6.19999999999999,997.043455394717,1.64259529651607,1.01615852033401,0.297790788433084,1,"A"
"64",6.29999999999999,996.975772216279,1.67742656902375,1.03884884106099,0.307952373636425,1,"A"
"65",6.39999999999999,996.906909759009,1.71274049491362,1.06200888403085,0.318340862047034,1,"A"
