"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"137",136,1.02501320702608e-09,1.65592735144403e-09,0.00162866762745058,3630.79402416637,5481.13616756893,5489.24515312957,90285.8146597624,135580.054405779,126508.009021062,10211843.3913161,15140943.8094267,12022544.7441971
"138",137,1.00009317900412e-09,1.61509913006922e-09,0.00160239664560488,3351.64531298444,5059.72639141375,5067.21195377074,85298.8090389884,128093.339714212,119550.213996732,10217109.545648,15148851.9338944,12029924.5724471
"139",138,9.7704250165244e-10,1.57734559259797e-09,0.00157789534211281,3093.95857470317,4670.71613864387,4677.62620715121,80581.4015467825,121011.183230927,112966.128794224,10222084.6398785,15156323.1006304,12036898.2434207
"140",139,9.5569581299825e-10,1.54239344992474e-09,0.00155502745673778,2856.08373442578,4311.6144155164,4317.99323467511,76119.492917947,114312.442089497,106736.410592475,10226784.4233476,15163380.943495,12043487.5946178
"141",140,9.35905084154629e-10,1.50999819873601e-09,0.00153366903331022,2636.49758104279,3980.12174498928,3986.01015774051,71899.6818809459,107977.018878111,100842.656923692,10231223.820538,15170047.8593769,12049713.3313849
"142",141,9.17537516303732e-10,1.47994061317382e-09,0.0015137071249067,2433.7940134805,3674.11544221753,3679.55115145637,67909.233973037,101985.815042797,95267.3652183298,10235416.9720135,15176345.069515,12055595.0821165
"143",142,9.00473724525783e-10,1.45202371701028e-09,0.00149503865374672,2246.67503685352,3391.63602212315,3396.65383210736,64136.0514439103,96320.6859058783,89993.8936060214,10239377.2735192,15182292.678072,12061151.4510668
"144",143,8.84606165437035e-10,1.42607016395837e-09,0.00147756940534174,2073.942450866,3130.87465200074,3135.50669120005,60568.6442403805,90964.3972900686,85006.4229838842,10243117.4133087,15187909.7280579,12066400.0688473
"145",144,8.69837772602306e-10,1.4019199655642e-09,0.00146121313937732,1914.49017723898,2890.1615688126,2894.43749562543,57196.102060814,85900.5837326287,80289.9203564712,10246649.4077619,15193214.2546986,12071357.6406867
"146",145,8.56080769466942e-10,1.3794285158738e-09,0.00144589080229912,1767.29717703308,2667.95538700453,2671.90257965918,54008.0674646619,81113.7082689594,75830.1034453713,10249984.6353583,15198223.336344,12076039.9925291
"147",146,8.43255634336589e-10,1.35846487012961e-09,0.0014315298286819,1631.42091251336,2462.83322837583,2466.47696023209,50994.7100196547,76589.0237606552,71613.4065610472,10253133.8690678,15202953.143011,12080462.1150472
"148",147,8.31290195903904e-10,1.33891024143984e-09,0.00141806352025031,1505.99131168991,2273.48161080094,2276.84521217441,48146.7014668501,72312.5357393969,67626.9477248137,10256107.3072214,15207418.9826498,12084638.2056449
"149",148,8.20118841126425e-10,1.32065668492607e-09,0.00140543049294305,1390.20519688657,2098.68803745947,2101.79304500479,45455.1918817544,68270.9667350119,63858.4970248426,10258914.6029213,15211635.3452275,12088581.7085247
"150",149,8.09681820018382e-10,1.30360594349448e-09,0.00139357418370967,1283.32114166165,1937.33323271694,1940.19952732638,42911.7868081231,64451.7220535247,60296.4461866592,10261564.8920502,15215615.9447138,12092305.3528924
"151",150,7.9992463422762e-10,1.28766843325544e-09,0.00138244240983801,1184.65472314742,1788.38397493936,1791.02990903968,40508.52533975,60842.8569689909,56929.7793357125,10264066.8199371,15219373.7590561,12095821.1893728
