"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",1.91578947368421,0.947368421052632,0.484210526315789,0.326315789473684,0.452631578947368,0.789473684210526,0.968421052631579,1.02105263157895,0.547368421052632,0.294736842105263,0.326315789473684,0.305263157894737,0.263157894736842,0.0947368421052632,0.105263157894737,0.0315789473684211
"[5,10)",0.647058823529412,6.63725490196078,1.31372549019608,0.343137254901961,0.303921568627451,0.656862745098039,1.06862745098039,0.980392156862745,1,0.53921568627451,0.382352941176471,0.205882352941176,0.254901960784314,0.107843137254902,0.0588235294117647,0.0882352941176471
"[10,15)",0.411764705882353,1.08823529411765,6.85294117647059,1.02941176470588,0.215686274509804,0.441176470588235,0.617647058823529,1.26470588235294,1.13725490196078,0.568627450980392,0.401960784313726,0.254901960784314,0.186274509803922,0.117647058823529,0.0980392156862745,0.107843137254902
"[15,20)",0.238095238095238,0.733333333333333,1.52380952380952,6.71428571428571,0.933333333333333,0.742857142857143,0.495238095238095,1.08571428571429,0.942857142857143,0.771428571428571,0.40952380952381,0.333333333333333,0.238095238095238,0.2,0.0476190476190476,0.0571428571428571
"[20,25)",0.457627118644068,0.610169491525424,0.271186440677966,1.57627118644068,2.59322033898305,1.28813559322034,0.88135593220339,0.76271186440678,0.728813559322034,0.966101694915254,0.440677966101695,0.389830508474576,0.186440677966102,0.186440677966102,0.0677966101694915,0.169491525423729
"[25,30)",0.728813559322034,0.745762711864407,0.305084745762712,0.728813559322034,1.49152542372881,1.83050847457627,1.1864406779661,0.949152542372881,0.88135593220339,0.932203389830508,0.847457627118644,0.525423728813559,0.338983050847458,0.220338983050847,0.101694915254237,0.0677966101694915
"[30,35)",0.666666666666667,0.95,0.483333333333333,0.416666666666667,0.75,0.966666666666667,1.66666666666667,1.53333333333333,0.816666666666667,0.566666666666667,0.6,0.683333333333333,0.4,0.133333333333333,0.0833333333333333,0.0666666666666667
"[35,40)",0.828571428571429,1.38571428571429,0.757142857142857,0.557142857142857,0.628571428571429,0.714285714285714,0.885714285714286,1.5,1.22857142857143,0.8,0.614285714285714,0.528571428571429,0.385714285714286,0.3,0.214285714285714,0.2
"[40,45)",0.241935483870968,0.903225806451613,1,0.854838709677419,0.774193548387097,0.741935483870968,1.01612903225806,1.32258064516129,1.35483870967742,1.32258064516129,0.709677419354839,0.548387096774194,0.467741935483871,0.225806451612903,0.209677419354839,0.290322580645161
"[45,50)",0.218181818181818,0.163636363636364,0.690909090909091,1.16363636363636,0.872727272727273,0.854545454545454,0.909090909090909,1.09090909090909,1.27272727272727,1.87272727272727,0.945454545454545,0.509090909090909,0.545454545454545,0.127272727272727,0.218181818181818,0.490909090909091
"[50,55)",0.363636363636364,0.303030303030303,0.318181818181818,0.696969696969697,0.878787878787879,0.878787878787879,0.924242424242424,0.833333333333333,0.893939393939394,0.606060606060606,0.742424242424242,0.818181818181818,0.409090909090909,0.212121212121212,0.272727272727273,0.257575757575758
"[55,60)",0.203703703703704,0.222222222222222,0.444444444444444,0.296296296296296,0.611111111111111,0.87037037037037,0.611111111111111,0.685185185185185,0.666666666666667,0.796296296296296,1.05555555555556,1.16666666666667,0.777777777777778,0.277777777777778,0.185185185185185,0.574074074074074
"[60,65)",0.196969696969697,0.5,0.272727272727273,0.196969696969697,0.53030303030303,0.666666666666667,0.757575757575758,1.01515151515152,0.939393939393939,0.606060606060606,0.590909090909091,0.848484848484849,0.651515151515151,0.363636363636364,0.196969696969697,0.272727272727273
"[65,70)",0.259259259259259,0.481481481481481,0.407407407407407,0.481481481481481,0.37037037037037,0.740740740740741,0.62962962962963,0.962962962962963,0.814814814814815,0.592592592592593,0.555555555555556,0.851851851851852,0.851851851851852,0.703703703703704,0.333333333333333,0.407407407407407
"[70,75)",0.136363636363636,0.136363636363636,0.409090909090909,0.727272727272727,0.409090909090909,0.409090909090909,0.181818181818182,0.136363636363636,0.909090909090909,0.727272727272727,0.454545454545455,0.363636363636364,0.545454545454545,0.818181818181818,0.590909090909091,0.863636363636364
"75+",0,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.142857142857143,0.428571428571429,0.428571428571429,0.571428571428571,0.142857142857143,1,0.285714285714286,0.714285714285714,0,0.142857142857143,0.857142857142857
