"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",4.20912547528517,2.3041825095057,0.760456273764259,0.414448669201521,0.475285171102662,1.27756653992395,2.55893536121673,2.31939163498099,1.53992395437262,0.813688212927757,0.718631178707224,0.722433460076046,0.718631178707224,0.281368821292776,0.178707224334601,0.277566539923954
"[5,10)",1.33039647577093,7.48458149779736,2.90748898678414,0.6784140969163,0.414096916299559,0.726872246696035,1.42290748898678,2.57709251101322,2.61233480176211,1.4625550660793,0.775330396475771,0.647577092511013,0.572687224669604,0.568281938325991,0.259911894273128,0.246696035242291
"[10,15)",0.616541353383459,1.54135338345865,13.9248120300752,2.57142857142857,0.616541353383459,0.586466165413534,0.819548872180451,1.33082706766917,2.81203007518797,2.43609022556391,1.02255639097744,0.428571428571429,0.398496240601504,0.293233082706767,0.293233082706767,0.37593984962406
"[15,20)",0.584070796460177,0.442477876106195,1.71681415929204,13.141592920354,2.84955752212389,1.13274336283186,0.893805309734513,0.973451327433628,1.5929203539823,2.74336283185841,1.57522123893805,0.823008849557522,0.469026548672566,0.256637168141593,0.256637168141593,0.68141592920354
"[20,25)",0.333333333333333,0.398148148148148,0.287037037037037,2.34259259259259,6.81481481481481,2.39814814814815,1.64814814814815,1.02777777777778,1.46296296296296,1.90740740740741,1.57407407407407,1.23148148148148,0.583333333333333,0.212962962962963,0.212962962962963,0.685185185185185
"[25,30)",0.836734693877551,0.408163265306122,0.469387755102041,0.551020408163265,1.69387755102041,4.53061224489796,2.55102040816327,2.51020408163265,1.40816326530612,1.79591836734694,1.18367346938776,1.77551020408163,0.938775510204082,0.122448979591837,0.0816326530612245,0.408163265306122
"[30,35)",0.76,0.7,0.3,0.48,1.64,2.88,3.02,2.78,2.02,2.38,1.72,1.54,1.04,0.46,0.08,0.34
"[35,40)",0.568965517241379,1,1.53448275862069,0.672413793103448,0.741379310344828,1.62068965517241,2.1551724137931,3.36206896551724,3.06896551724138,1.94827586206897,1.10344827586207,0.758620689655172,1.03448275862069,0.482758620689655,0.568965517241379,0.844827586206897
"[40,45)",0.657894736842105,1.21052631578947,1.15789473684211,1.13157894736842,1.63157894736842,1.52631578947368,2.47368421052632,2.10526315789474,2.81578947368421,2.57894736842105,2.02631578947368,1.5,1.10526315789474,0.736842105263158,0.447368421052632,0.368421052631579
"[45,50)",0.169230769230769,0.246153846153846,0.461538461538462,1.27692307692308,1.73846153846154,1.53846153846154,1.98461538461538,2.30769230769231,3.30769230769231,3.2,3.55384615384615,1.6,1.21538461538462,0.523076923076923,0.553846153846154,0.507692307692308
"[50,55)",0.697368421052632,0.197368421052632,0.513157894736842,0.697368421052632,1.43421052631579,2.17105263157895,1.68421052631579,1.89473684210526,2.38157894736842,2.59210526315789,2.86842105263158,2.39473684210526,1.35526315789474,0.578947368421053,0.263157894736842,1.5
"[55,60)",0.61038961038961,0.571428571428571,0.168831168831169,0.415584415584416,1.05194805194805,2.14285714285714,2.77922077922078,2.38961038961039,2.09090909090909,2.67532467532468,2.88311688311688,3.24675324675325,2.11688311688312,0.688311688311688,0.415584415584416,0.987012987012987
"[60,65)",0.44,0.784,0.432,0.6,0.528,1.08,1.52,1.872,1.632,1.448,1.672,1.72,2.744,1.552,0.736,1.4
"[65,70)",0.276073619631902,0.398773006134969,0.570552147239264,0.282208588957055,0.380368098159509,0.932515337423313,1.20245398773006,1.42331288343558,1.49079754601227,1.22699386503067,1.07361963190184,1.15950920245399,2.17791411042945,2.49079754601227,1,1.41104294478528
"[70,75)",0.178947368421053,0.221052631578947,0.389473684210526,0.305263157894737,0.273684210526316,0.736842105263158,0.926315789473684,0.894736842105263,1.34736842105263,1.6,1.01052631578947,0.936842105263158,1.43157894736842,1.67368421052632,1.87368421052632,1.76842105263158
"75+",0.193877551020408,0.306122448979592,0.397959183673469,0.285714285714286,0.510204081632653,0.704081632653061,0.826530612244898,1.28571428571429,1.25510204081633,1.23469387755102,1.25510204081633,1.01020408163265,1.22448979591837,1,1.12244897959184,2.57142857142857
