time,regions,sf6
1963,LAM,0.0
1963,SAS,0.06662984634253025
1963,SEA,0.04127424602983195
1963,CHI,0.0
1963,MAF,0.009076341065603278
1963,SSA,0.009738838899667123
1963,SIS,0.0
1964,USA,0.3606806693248752
1964,CAN,0.05090621514675511
1964,WEU,0.0
1964,JPK,0.0
1964,ANZ,0.0
1964,EEU,0.0
1964,FSU,0.0
1964,MDE,0.10009330011645955
1964,CAM,0.0
1964,LAM,0.0
1964,SAS,0.07196799649411795
1964,SEA,0.04478563355185231
1964,CHI,0.0
1964,MAF,0.009917999808425742
1964,SSA,0.010867808660341184
1964,SIS,0.0
1965,USA,0.3934011588738002
1965,CAN,0.055221401516932375
1965,WEU,0.0
1965,JPK,0.0
1965,ANZ,0.0
1965,EEU,0.0
1965,FSU,0.0
1965,MDE,0.10792742054076272
1965,CAM,0.0
1965,LAM,0.0
1965,SAS,0.07734374132385385
1965,SEA,0.048370511325472876
1965,CHI,0.0
1965,MAF,0.010789712535108756
1965,SSA,0.012064876715703129
1965,SIS,0.0
1966,USA,0.4272800430712301
1966,CAN,0.0596604111252799
1966,WEU,0.0
1966,JPK,0.0
1966,ANZ,0.0
1966,EEU,0.0
1966,FSU,0.0
1966,MDE,0.11589113413596352
1966,CAM,0.0
1966,LAM,0.0
1966,SAS,0.08275876282527778
1966,SEA,0.0520358777202512
1966,CHI,0.0
1966,MAF,0.011694024400123059
1966,SSA,0.013333312328360629
1966,SIS,0.0
1967,USA,0.46236820204529705
1967,CAN,0.06423111036343379
1967,WEU,0.0
1967,JPK,0.0
1967,ANZ,0.0
1967,EEU,0.0
1967,FSU,0.0
1967,MDE,0.12399376042359968
1967,CAM,0.0
1967,LAM,0.0
1967,SAS,0.0882148117266722
1967,SEA,0.05578935273930272
1967,CHI,0.0
1967,MAF,0.01263368085558402
1967,SSA,0.014676528350704635
1967,SIS,0.0
1968,USA,0.49871855988815483
1968,CAN,0.06894182710920806
1968,WEU,0.0
1968,JPK,0.0
1968,ANZ,0.0
1968,EEU,0.0
1968,FSU,0.0
1968,MDE,0.1322452401069772
1968,CAM,0.0
1968,LAM,0.0
1968,SAS,0.09371371015468458
1968,SEA,0.059639230895012246
1968,CHI,0.0
1968,MAF,0.013611642718621478
1968,SSA,0.016098087209806187
1968,SIS,0.0
