time,regions,emission
1950,USA,0.00021838014585774418
1950,CAN,0.005011183170657029
1950,WEU,9.203136564223737e-5
1950,JPK,5.362308657224777e-5
1950,ANZ,0.0013689241562053844
1950,EEU,0.008315520493920904
1950,FSU,0.005423812571786413
1950,MDE,0.0013674229052946293
1950,CAM,0.005916339673091411
1950,LAM,0.0009159436294023071
1950,SAS,0.003951036512441944
1950,SEA,0.004643100251381104
1950,CHI,0.020219419771920464
1950,MAF,0.02383225253839978
1950,SSA,0.002295038391451089
1950,SIS,0.06935925405560592
1951,USA,598.58091912495
1951,CAN,36.87918862248431
1951,WEU,349.01517747320236
1951,JPK,22.163723685652403
1951,ANZ,19.989364486178964
1951,EEU,68.67902565457597
1951,FSU,163.80086001683847
1951,MDE,8.917513181819258
1951,CAM,10.440889240454503
1951,LAM,36.192037015348426
1951,SAS,14.088281435560624
1951,SEA,3.4127613853788237
1951,CHI,9.062066106335074
1951,MAF,4.509285835648377
1951,SSA,21.704303122315068
1951,SIS,3.524317792456586
1952,USA,607.1305542166501
1952,CAN,37.72250054578657
1952,WEU,361.55949394262944
1952,JPK,24.140220253014895
1952,ANZ,20.59223116043259
1952,EEU,73.38228811143466
1952,FSU,176.72162827595497
1952,MDE,10.051135433254375
1952,CAM,11.225708265022377
1952,LAM,38.33712098360011
1952,SAS,14.94782018638428
1952,SEA,3.799546301196332
1952,CHI,11.489580065292179
1952,MAF,4.717578494478414
1952,SSA,22.89445014568332
1952,SIS,3.8488600434346143
1953,USA,615.802305229299
1953,CAN,38.585096380328416
1953,WEU,374.5546787004342
1953,JPK,26.292975049193185
1953,ANZ,21.213279914820724
1953,EEU,78.40763838953518
1953,FSU,190.6615990739875
1953,MDE,11.328867301658585
1953,CAM,12.069520435397902
1953,LAM,40.60934300790813
1953,SAS,15.859800171260986
1953,SEA,4.230167440590706
1953,CHI,14.567367808592136
1953,MAF,4.9354925952182755
1953,SSA,24.149858418364662
1953,SIS,4.203288269194862
1954,USA,624.5979163657764
1954,CAN,39.46741708896407
1954,WEU,388.0169368713804
1954,JPK,28.6377062715969
1954,ANZ,21.853059109457032
1954,EEU,83.77713363868455
1954,FSU,205.70116808048928
1954,MDE,12.769028453637487
1954,CAM,12.976760138545895
1954,LAM,43.01623849739261
1954,SAS,16.82742087715555
1954,SEA,4.709592976877129
1954,CHI,18.469622359118837
1954,MAF,5.163472570931249
1954,SSA,25.474106515592478
1954,SIS,4.590354565915844
1955,USA,633.5191567417146
1955,CAN,40.369913717991714
1955,WEU,401.963056025428
1955,JPK,31.191533820872294
1955,ANZ,22.512133642651694
1955,EEU,89.51434152174082
1955,FSU,221.92707265220125
1955,MDE,14.39226740928751
1955,CAM,13.952195084692447
1955,LAM,45.56578948111082
1955,SAS,17.854076994616808
1955,SEA,5.243354150717283
1955,CHI,23.417198945663927
1955,MAF,5.401983383905824
1955,SSA,26.87096924238176
1955,SIS,5.013064460806217
1956,USA,642.567820741331
1956,CAN,41.29304762773045
1956,WEU,416.4104271119997
1956,JPK,33.97310430072961
1956,ANZ,23.191085449693006
1956,EEU,95.64444365724744
1956,FSU,239.43289207139375
1956,MDE,16.22185759335767
1956,CAM,15.000951362512355
1956,LAM,48.26645107899798
1956,SAS,18.943370327324256
1956,SEA,5.837609085291752
1956,CHI,29.690114708277427
1956,MAF,5.6515114739404275
1956,SSA,28.344428393712917
1956,SIS,5.474700249692882
1957,USA,651.7457283783446
1957,CAN,42.23729072836968
1957,WEU,431.3770661466684
1957,JPK,37.00272716489246
1957,ANZ,23.890514016671954
1957,EEU,102.19434614600375
1957,FSU,258.3195872434857
1957,MDE,18.284031021363784
1957,CAM,16.128540377660702
1957,LAM,51.12717954172737
1957,SAS,20.099122428246872
1957,SEA,6.499213833957606
1957,CHI,37.643396780121556
1957,MAF,5.912565750431252
1957,SSA,29.898684104746028
1957,SIS,5.978846483686955
1958,USA,661.0547256620451
1958,CAN,43.20312572121175
1958,WEU,446.8816366773077
1958,JPK,40.30252300523697
1958,ANZ,24.6110369098034
1958,EEU,109.19279766669297
1958,FSU,278.6960829665277
1958,MDE,20.60835440492837
1958,CAM,17.34088781621549
1958,LAM,54.15746195247907
1958,SAS,21.325388006745342
1958,SEA,7.235801480084012
1958,CHI,47.72717569698739
1958,MAF,6.1856786302865725
1958,SSA,31.538166823419726
1958,SIS,6.529417802828781
1959,USA,670.4966849685942
1959,CAN,44.19104634543101
1959,WEU,462.9434730577217
1959,JPK,43.89658506383703
1959,ANZ,25.35329032071124
1959,EEU,116.67051565890951
1959,FSU,300.67989613065777
1959,MDE,23.22815306881121
1959,CAM,18.644364785239514
1959,LAM,57.36734768911768
1959,SAS,22.626469153653748
1959,SEA,8.055870201658532
1959,CHI,60.51216135771231
1959,MAF,6.471407123784317
1959,SSA,33.26754993956286
1959,SIS,7.130689332837142
1960,USA,698.7823168994756
1960,CAN,47.015655417832534
1960,WEU,478.806685680548
1960,JPK,49.42161934973783
1960,ANZ,25.999808227085946
1960,EEU,123.43220862868861
1960,FSU,316.4681244206721
1960,MDE,25.906622361725695
1960,CAM,19.623688330418137
1960,LAM,60.4394691538815
1960,SAS,23.692509235234283
1960,SEA,9.0336167803801
1960,CHI,60.49417233530068
1960,MAF,7.166091612729162
1960,SSA,35.31755030432134
1960,SIS,7.723355999380729
1961,USA,725.0520631322178
1961,CAN,49.56925313050436
1961,WEU,495.74478538715033
1961,JPK,55.63547389078902
1961,ANZ,26.543587656552035
1961,EEU,130.05064383016153
1961,FSU,331.44215051927694
1961,MDE,28.928553388422184
