time,globch4
1950,
1951,161.3
1952,162.6
1953,163.9
1954,165.2
1955,166.8
1956,168.1
1957,169.59999999999997
1958,170.89999999999998
1959,172.29999999999998
1960,204.2
1961,208.3
1962,212.50000000000003
1963,216.50000000000003
1964,220.40000000000003
1965,224.9
1966,228.8
1967,233.09999999999997
1968,237.20000000000002
1969,241.10000000000002
1970,244.90000000000003
1971,248.8
1972,253.00000000000006
1973,257.0
1974,261.30000000000007
1975,265.3
1976,269.3
1977,273.4
1978,277.4
1979,281.40000000000003
1980,286.2
1981,290.40000000000003
1982,294.4
1983,298.6
1984,302.5
1985,306.8
1986,310.79999999999995
1987,315.09999999999997
1988,319.29999999999995
1989,323.30000000000007
1990,326.00000000000006
1991,321.2
1992,316.09999999999997
1993,310.79999999999995
1994,305.5
1995,299.7000000000001
1996,294.0
1997,287.9
1998,281.40000000000003
1999,275.2
2000,268.6
2001,274.40000000000003
2002,280.1
2003,285.99999999999994
2004,291.69999999999993
2005,297.49999999999994
2006,303.4
2007,307.70000000000005
2008,312.1000000000001
2009,316.2
2010,319.3
2011,324.9
2012,331.4
2013,337.49999999999994
2014,343.5999999999999
2015,350.3
2016,356.0
2017,361.79999999999995
2018,367.6
2019,373.49999999999994
2020,379.3
2021,384.8
2022,390.90000000000003
2023,396.5
2024,402.20000000000005
2025,407.9000000000001
2026,413.59999999999997
2027,418.9
2028,423.7
2029,428.6
2030,432.8
2031,438.7
2032,443.69999999999993
2033,448.7000000000001
2034,453.6
2035,457.5000000000001
2036,463.50000000000006
2037,468.20000000000005
2038,473.20000000000005
2039,478.0999999999999
2040,482.2
2041,488.09999999999997
2042,493.59999999999997
2043,498.9
2044,504.50000000000006
2045,509.6
2046,515.4
2047,519.3000000000001
2048,523.5999999999999
2049,528.1
2050,530.9
2051,536.6
2052,543.0
2053,549.9
2054,556.9000000000001
2055,564.1999999999999
2056,570.2
2057,575.3
2058,580.5
2059,586.0999999999999
2060,590.7
2061,596.5
2062,601.5
2063,606.5
2064,611.3999999999999
2065,615.6000000000001
2066,621.4
2067,627.5999999999999
2068,633.6
2069,639.7
2070,645.6999999999999
2071,651.5999999999999
2072,656.5999999999999
2073,661.5
2074,666.1999999999999
2075,670.7
2076,676.3
2077,679.4
2078,682.6
2079,685.7
2080,686.4000000000001
2081,692.0
2082,696.3000000000001
2083,700.9
2084,705.3000000000001
2085,707.9000000000001
2086,713.8000000000001
2087,717.4000000000001
2088,720.4
2089,723.9
2090,725.0999999999999
2091,730.6999999999999
2092,734.6
2093,738.0999999999999
2094,741.8
2095,743.4
2096,749.1999999999999
2097,752.0
2098,754.5999999999999
2099,757.1999999999998
2100,757.1
2101,760.1
2102,763.4
2103,766.5
2104,769.6999999999999
2105,772.9
2106,776.1999999999999
2107,779.2999999999998
2108,782.7
2109,785.6000000000001
2110,789.0999999999999
2111,792.1
2112,795.5
2113,798.4999999999999
2114,801.8
2115,805.0000000000001
2116,808.2999999999998
2117,811.4000000000002
2118,814.6999999999999
2119,817.8000000000001
2120,820.9000000000001
2121,824.3000000000001
2122,827.4
2123,830.8000000000001
2124,833.9000000000001
2125,837.0999999999999
2126,840.2
2127,843.4999999999999
2128,846.7
2129,849.9
2130,853.1999999999999
2131,856.3
2132,859.4000000000001
2133,862.7
2134,865.8
2135,869.0
2136,872.4000000000001
2137,875.5999999999999
2138,878.6999999999999
2139,881.7
2140,885.0
2141,888.4
2142,891.4
2143,894.7
2144,898.0000000000001
2145,901.1
2146,904.6
2147,907.3
2148,910.6
2149,913.9000000000001
2150,917.3
2151,920.3000000000002
2152,923.4
2153,926.5999999999999
2154,929.7
2155,933.1
2156,936.0999999999999
2157,939.4000000000001
2158,942.8
2159,945.6
2160,949.1000000000001
2161,952.3000000000001
2162,955.4
2163,958.7
2164,961.9000000000001
2165,964.9999999999999
2166,968.3000000000001
2167,971.3999999999999
2168,974.7
2169,977.9000000000001
2170,981.0999999999998
2171,983.9999999999998
2172,987.6
2173,990.6999999999999
2174,994.0
2175,997.0000000000001
2176,1000.2999999999998
2177,1003.5
2178,1006.6
2179,1009.9
2180,1013.0999999999999
2181,1016.5
2182,1019.6
2183,1022.9000000000001
2184,1026.1
2185,1029.0
2186,1032.4
2187,1035.5
2188,1038.8
2189,1041.9999999999998
2190,1045.2
2191,1048.6
2192,1051.3999999999999
2193,1054.8
2194,1057.9
2195,1061.3
2196,1064.4
2197,1067.7
2198,1070.6999999999998
2199,1074.1000000000001
2200,1077.4
