time,globsf6
1950,
1951,0.03945092170986072
1952,0.07977497604717042
1953,0.12102250153729922
1954,0.16324652605730317
1955,0.20650290887676173
1956,0.25085049036394697
1957,0.29635124978708743
1958,0.34307047166564436
1959,0.3910769211532021
1960,0.4404430289618864
1961,0.49055849122196005
1962,0.5420133907409022
1963,0.5948763953847254
1964,0.6492196231028271
1965,0.7051188228316339
1966,0.7626535656064861
1967,0.8219074465045941
1968,0.8829682980824645
1969,0.9459284160145206
1970,1.0111521810476662
1971,1.0776358262698909
1972,1.146770937259985
1973,1.2208535637230162
1974,1.307901789550556
1975,1.403987586366986
1976,1.505244873787089
1977,1.6137028049994613
1978,1.7517914154999472
1979,1.899825540970485
1980,2.0572586680618903
1981,2.250829984113842
1982,2.459729585176001
1983,2.6851012629110373
1984,2.9281751705467345
1985,3.196368857535736
1986,3.4870003147586774
1987,3.801345800059663
1988,4.141374808725234
1989,4.50950266994979
1990,4.909747044272643
1991,5.1381296751775825
1992,5.3784624219143256
1993,5.631255308594535
1994,5.897605261811169
1995,6.177699794902296
1996,6.552810304565069
1997,6.9967132558507386
1998,7.44045018974264
1999,7.792834885812298
2000,8.218988527810984
2001,8.768409613777767
2002,9.197593522912854
2003,9.645681848113044
2004,10.112184872110639
2005,10.59762125936225
2006,11.102696960455154
2007,11.628032372426983
2008,12.174468081255046
2009,12.742773159652204
2010,13.33380467489875
2011,13.581331536152462
2012,13.827665176823032
2013,14.07267002192016
2014,14.316128993755623
2015,14.55790218957268
2016,14.797767551237165
2017,15.03554617795814
2018,15.271104587222295
2019,15.504224124087274
2020,15.73477138995752
2021,15.9625276753825
2022,16.188884296849917
2023,16.41376129715689
2024,16.636986352753834
2025,16.858477805136
2026,17.078061527956493
2027,17.295334628992737
2028,17.51011914311692
2029,17.722257857548538
2030,17.93162122719342
2031,18.138099184085036
2032,18.344261674490678
2033,18.550044349336694
2034,18.755397222811105
2035,18.960307432627687
2036,19.164774436812312
2037,19.368767946680315
2038,19.572231888232857
2039,19.77511660670228
2040,19.97741983554297
2041,20.179142889425016
2042,20.37806264430755
2043,20.5740552854118
2044,20.76699393588631
2045,20.956810419735543
2046,21.143429890957833
2047,21.326757034347317
2048,21.506681650410865
2049,21.683079912729145
2050,21.855899268574028
2051,22.025069354482348
2052,22.197098450269962
2053,22.372065225476227
2054,22.54997603645455
2055,22.730969828725108
2056,22.915114272575124
2057,23.10248727246177
2058,23.293178507030195
2059,23.48719715568737
2060,23.684699145018016
2061,23.88576113521554
2062,24.09047184971565
2063,24.298933766517393
2064,24.51115972756103
2065,24.72732517769981
2066,24.947517305039213
2067,25.17183729827275
2068,25.400402238168216
2069,25.633229339876415
2070,25.87051616436906
2071,26.112361996291728
2072,26.357183830252108
2073,26.604992103897388
2074,26.85568178006496
2075,27.10934348167539
2076,27.365953749273316
2077,27.619443452989533
2078,27.86951689826558
2079,28.1159791799367
2080,28.358534436753946
2081,28.596988819439293
2082,28.83207138524598
2083,29.063543523000313
2084,29.291268261111824
2085,29.51500954682943
2086,29.734633793211955
2087,29.949954770512107
2088,30.16073399483364
2089,30.36683553243628
2090,30.56802685062547
2091,30.764178762169422
2092,30.955268550602725
2093,31.14108072220611
2094,31.321502604021774
2095,31.49632718067683
2096,31.665450671492923
2097,31.8287192622309
2098,31.985929814421517
2099,32.13698229017866
2100,32.281684800683614
2101,32.41994888623785
2102,32.55522691651557
2103,32.6874235936701
2104,32.81644446444329
2105,32.94219598446554
2106,33.064585628515594
2107,33.18352199818732
2108,33.29891491006617
2109,33.41067549169494
2110,33.518716336702354
2111,33.62295159451292
2112,33.72365106790214
2113,33.82074000001205
2114,33.91414510679637
2115,34.003794663455245
2116,34.08961858622987
2117,34.17154850868877
2118,34.24951786508573
2119,34.32346195938878
2120,34.39331804502448
2121,34.459025396046634
2122,34.52064184754191
2123,34.57811244551541
2124,34.6313842930713
2125,34.68040662454142
2126,34.72513085826804
2127,34.765510653539884
2128,34.80150195835831
2129,34.833063060552504
2130,34.860154635814794
2131,34.882739788218736
2132,34.90078409715739
2133,34.914255655867926
2134,34.92312510320199
2135,34.92736566218568
2136,34.92695316513096
2137,34.92186607825863
2138,34.91208553181426
2139,34.89759534174107
2140,34.87838203279374
2141,34.85443484577032
2142,34.82574574660818
2143,34.79230944555122
2144,34.754123397775004
2145,34.71118780603045
2146,34.663505627712084
2147,34.6110825608031
2148,34.553927059608256
2149,34.49205031095224
2150,34.42546622103338
2151,34.35419140157689
2152,34.282930906783434
2153,34.21168966597108
2154,34.14047266738021
2155,34.06928494449234
2156,33.99813156432993
2157,33.92701762849983
2158,33.85594826070184
2159,33.78492859797494
2160,33.71396379939189
2161,33.64305902058941
2162,33.57221941706415
2163,33.501450138514734
2164,33.43075632043444
2165,33.360143079168736
2166,33.28961551130798
2167,33.21917868255054
2168,33.14883762897611
2169,33.0785973474328
2170,33.00846279370467
2171,32.93843887823738
2172,32.86853046893459
2173,32.79874236936701
2174,32.7290793277221
2175,32.65954602956658
2176,32.59014710050135
2177,32.52088709681326
2178,32.451770505055144
2179,32.38280173941714
2180,32.313985136611294
2181,32.24532495492074
2182,32.17682536867171
2183,32.10849047319486
2184,32.04032427525485
2185,31.972330696857153
2186,31.904513578976246
2187,31.836876669728223
2188,31.769423629961466
2189,31.702158026668727
2190,31.635083334397237
2191,31.56820293442694
2192,31.501520110954424
2193,31.43503814127476
2194,31.368760091009683
2195,31.302689011395398
2196,31.236827730236666
2197,31.171179063001716
2198,31.10574572851148
2199,31.040530355194782
2200,30.975535472965454
