time,regions,ch4
1967,MDE,6.6
1967,CAM,4.5
1967,LAM,22.2
1967,SAS,24.4
1967,SEA,29.4
1967,CHI,31.6
1967,MAF,6.7
1967,SSA,12.7
1967,SIS,1.4
1968,USA,25.9
1968,CAN,3.5
1968,WEU,16.1
1968,JPK,2.5
1968,ANZ,6.1
1968,EEU,6.8
1968,FSU,34.4
1968,MDE,6.7
1968,CAM,4.6
1968,LAM,22.6
1968,SAS,24.9
1968,SEA,29.9
1968,CHI,32.1
1968,MAF,6.8
1968,SSA,12.9
1968,SIS,1.4
1969,USA,26.3
1969,CAN,3.5
1969,WEU,16.4
1969,JPK,2.5
1969,ANZ,6.2
1969,EEU,6.9
1969,FSU,35.0
1969,MDE,6.8
1969,CAM,4.6
1969,LAM,23.0
1969,SAS,25.3
1969,SEA,30.4
1969,CHI,32.7
1969,MAF,6.9
1969,SSA,13.1
1969,SIS,1.5
1970,USA,26.7
1970,CAN,3.6
1970,WEU,16.6
1970,JPK,2.6
1970,ANZ,6.3
1970,EEU,7.0
1970,FSU,35.6
1970,MDE,6.9
1970,CAM,4.7
1970,LAM,23.3
1970,SAS,25.7
1970,SEA,30.9
1970,CHI,33.2
1970,MAF,7.0
1970,SSA,13.3
1970,SIS,1.5
1971,USA,27.2
1971,CAN,3.6
1971,WEU,16.9
1971,JPK,2.6
1971,ANZ,6.4
1971,EEU,7.1
1971,FSU,36.1
1971,MDE,7.0
1971,CAM,4.8
1971,LAM,23.7
1971,SAS,26.1
1971,SEA,31.4
1971,CHI,33.7
1971,MAF,7.1
1971,SSA,13.6
1971,SIS,1.5
1972,USA,27.6
1972,CAN,3.7
1972,WEU,17.2
1972,JPK,2.7
1972,ANZ,6.5
1972,EEU,7.2
1972,FSU,36.7
1972,MDE,7.1
1972,CAM,4.9
1972,LAM,24.1
1972,SAS,26.5
1972,SEA,31.9
1972,CHI,34.3
1972,MAF,7.3
1972,SSA,13.8
1972,SIS,1.5
1973,USA,28.0
1973,CAN,3.7
1973,WEU,17.4
1973,JPK,2.7
1973,ANZ,6.7
1973,EEU,7.3
1973,FSU,37.3
1973,MDE,7.2
1973,CAM,5.0
1973,LAM,24.5
1973,SAS,27.0
1973,SEA,32.4
1973,CHI,34.8
1973,MAF,7.4
1973,SSA,14.0
1973,SIS,1.6
1974,USA,28.5
1974,CAN,3.8
1974,WEU,17.7
1974,JPK,2.8
1974,ANZ,6.8
1974,EEU,7.5
1974,FSU,37.9
1974,MDE,7.4
1974,CAM,5.0
1974,LAM,24.9
1974,SAS,27.4
1974,SEA,32.9
1974,CHI,35.4
1974,MAF,7.5
1974,SSA,14.2
1974,SIS,1.6
1975,USA,28.9
1975,CAN,3.9
1975,WEU,18.0
1975,JPK,2.8
1975,ANZ,6.9
1975,EEU,7.6
1975,FSU,38.5
1975,MDE,7.5
1975,CAM,5.1
1975,LAM,25.2
1975,SAS,27.8
1975,SEA,33.5
1975,CHI,35.9
1975,MAF,7.6
1975,SSA,14.5
1975,SIS,1.6
1976,USA,29.4
1976,CAN,3.9
1976,WEU,18.3
1976,JPK,2.8
1976,ANZ,7.0
1976,EEU,7.7
1976,FSU,39.1
1976,MDE,7.6
1976,CAM,5.2
1976,LAM,25.6
1976,SAS,28.2
1976,SEA,34.0
1976,CHI,36.5
1976,MAF,7.7
1976,SSA,14.7
1976,SIS,1.6
1977,USA,29.8
1977,CAN,4.0
1977,WEU,18.5
1977,JPK,2.9
1977,ANZ,7.1
1977,EEU,7.8
1977,FSU,39.7
1977,MDE,7.7
1977,CAM,5.3
1977,LAM,26.0
1977,SAS,28.7
1977,SEA,34.5
1977,CHI,37.0
1977,MAF,7.8
1977,SSA,14.9
1977,SIS,1.7
1978,USA,30.3
1978,CAN,4.0
1978,WEU,18.8
1978,JPK,2.9
1978,ANZ,7.2
1978,EEU,7.9
1978,FSU,40.3
1978,MDE,7.8
1978,CAM,5.3
1978,LAM,26.4
1978,SAS,29.1
1978,SEA,35.0
1978,CHI,37.6
1978,MAF,8.0
1978,SSA,15.1
1978,SIS,1.7
1979,USA,30.7
1979,CAN,4.1
1979,WEU,19.1
1979,JPK,3.0
1979,ANZ,7.3
1979,EEU,8.0
1979,FSU,40.9
1979,MDE,7.9
1979,CAM,5.4
1979,LAM,26.8
1979,SAS,29.5
1979,SEA,35.5
1979,CHI,38.1
1979,MAF,8.1
1979,SSA,15.3
1979,SIS,1.7
1980,USA,31.2
1980,CAN,4.2
1980,WEU,19.4
1980,JPK,3.0
1980,ANZ,7.4
1980,EEU,8.2
1980,FSU,41.6
1980,MDE,8.1
1980,CAM,5.5
1980,LAM,27.2
1980,SAS,30.0
1980,SEA,36.1
1980,CHI,38.8
1980,MAF,8.2
1980,SSA,15.6
1980,SIS,1.7
1981,USA,31.7
1981,CAN,4.2
1981,WEU,19.7
1981,JPK,3.1
1981,ANZ,7.5
1981,EEU,8.3
1981,FSU,42.2
1981,MDE,8.2
1981,CAM,5.6
1981,LAM,27.6
1981,SAS,30.5
1981,SEA,36.6
1981,CHI,39.3
1981,MAF,8.3
1981,SSA,15.8
1981,SIS,1.8
1982,USA,32.1
1982,CAN,4.3
1982,WEU,20.0
1982,JPK,3.1
1982,ANZ,7.6
1982,EEU,8.4
1982,FSU,42.8
1982,MDE,8.3
1982,CAM,5.7
1982,LAM,28.0
1982,SAS,30.9
1982,SEA,37.1
1982,CHI,39.9
1982,MAF,8.4
1982,SSA,16.0
1982,SIS,1.8
1983,USA,32.6
1983,CAN,4.4
1983,WEU,20.3
1983,JPK,3.1
1983,ANZ,7.7
1983,EEU,8.5
1983,FSU,43.4
1983,MDE,8.4
1983,CAM,5.7
1983,LAM,28.4
1983,SAS,31.3
1983,SEA,37.7
1983,CHI,40.4
1983,MAF,8.6
1983,SSA,16.3
1983,SIS,1.8
1984,USA,33.0
1984,CAN,4.4
1984,WEU,20.5
1984,JPK,3.2
1984,ANZ,7.8
1984,EEU,8.6
1984,FSU,44.0
1984,MDE,8.5
1984,CAM,5.8
1984,LAM,28.8
1984,SAS,31.7
1984,SEA,38.2
1984,CHI,41.0
1984,MAF,8.7
1984,SSA,16.5
1984,SIS,1.8
1985,USA,33.5
1985,CAN,4.5
1985,WEU,20.8
1985,JPK,3.2
1985,ANZ,7.9
1985,EEU,8.8
1985,FSU,44.5
1985,MDE,8.6
1985,CAM,5.9
1985,LAM,29.2
1985,SAS,32.2
1985,SEA,38.7
1985,CHI,41.6
1985,MAF,8.8
1985,SSA,16.7
1985,SIS,1.9
1986,USA,33.9
1986,CAN,4.5
1986,WEU,21.1
1986,JPK,3.3
1986,ANZ,8.0
1986,EEU,8.9
1986,FSU,45.1
1986,MDE,8.8
1986,CAM,6.0
1986,LAM,29.6
1986,SAS,32.6
1986,SEA,39.2
1986,CHI,42.1
1986,MAF,8.9
1986,SSA,16.9
1986,SIS,1.9
1987,USA,34.4
1987,CAN,4.6
1987,WEU,21.4
1987,JPK,3.3
1987,ANZ,8.2
1987,EEU,9.0
1987,FSU,45.7
1987,MDE,8.9
1987,CAM,6.1
1987,LAM,30.0
1987,SAS,33.0
1987,SEA,39.7
1987,CHI,42.7
1987,MAF,9.0
1987,SSA,17.2
1987,SIS,1.9
1988,USA,34.8
1988,CAN,4.7
1988,WEU,21.7
1988,JPK,3.4
1988,ANZ,8.3
1988,EEU,9.1
1988,FSU,46.3
1988,MDE,9.0
1988,CAM,6.1
1988,LAM,30.4
1988,SAS,33.5
1988,SEA,40.3
1988,CHI,43.2
1988,MAF,9.2
1988,SSA,17.4
1988,SIS,1.9
1989,USA,35.3
1989,CAN,4.7
1989,WEU,21.9
1989,JPK,3.4
1989,ANZ,8.4
1989,EEU,9.2
1989,FSU,46.9
1989,MDE,9.1
1989,CAM,6.2
1989,LAM,30.8
1989,SAS,33.9
1989,SEA,40.8
1989,CHI,43.8
1989,MAF,9.3
1989,SSA,17.6
1989,SIS,2.0
1990,USA,35.6
1990,CAN,4.8
1990,WEU,22.1
1990,JPK,3.4
1990,ANZ,8.4
1990,EEU,9.3
1990,FSU,47.3
1990,MDE,9.2
1990,CAM,6.3
1990,LAM,31.0
1990,SAS,34.2
1990,SEA,41.1
1990,CHI,44.2
1990,MAF,9.3
1990,SSA,17.8
1990,SIS,2.0
1991,USA,35.0
1991,CAN,4.7
1991,WEU,21.8
1991,JPK,3.4
1991,ANZ,8.3
1991,EEU,9.2
1991,FSU,46.6
1991,MDE,9.0
1991,CAM,6.2
1991,LAM,30.6
1991,SAS,33.7
1991,SEA,40.5
1991,CHI,43.5
1991,MAF,9.2
1991,SSA,17.5
1991,SIS,2.0
1992,USA,34.5
1992,CAN,4.6
1992,WEU,21.4
1992,JPK,3.3
1992,ANZ,8.2
1992,EEU,9.0
1992,FSU,45.9
1992,MDE,8.9
1992,CAM,6.1
1992,LAM,30.1
1992,SAS,33.2
1992,SEA,39.9
1992,CHI,42.8
1992,MAF,9.1
1992,SSA,17.2
1992,SIS,1.9
1993,USA,33.9
1993,CAN,4.5
1993,WEU,21.1
1993,JPK,3.3
1993,ANZ,8.0
1993,EEU,8.9
1993,FSU,45.1
1993,MDE,8.8
1993,CAM,6.0
1993,LAM,29.6
1993,SAS,32.6
1993,SEA,39.2
1993,CHI,42.1
1993,MAF,8.9
1993,SSA,16.9
1993,SIS,1.9
1994,USA,33.3
1994,CAN,4.5
1994,WEU,20.7
1994,JPK,3.2
1994,ANZ,7.9
1994,EEU,8.7
1994,FSU,44.4
1994,MDE,8.6
1994,CAM,5.9
1994,LAM,29.1
1994,SAS,32.0
1994,SEA,38.5
1994,CHI,41.4
1994,MAF,8.8
1994,SSA,16.6
1994,SIS,1.9
1995,USA,32.7
1995,CAN,4.4
1995,WEU,20.3
1995,JPK,3.2
1995,ANZ,7.8
1995,EEU,8.6
1995,FSU,43.5
1995,MDE,8.4
1995,CAM,5.8
1995,LAM,28.5
1995,SAS,31.4
1995,SEA,37.8
1995,CHI,40.6
1995,MAF,8.6
1995,SSA,16.3
1995,SIS,1.8
1996,USA,32.1
1996,CAN,4.3
1996,WEU,19.9
1996,JPK,3.1
1996,ANZ,7.6
1996,EEU,8.4
1996,FSU,42.7
1996,MDE,8.3
1996,CAM,5.7
1996,LAM,28.0
1996,SAS,30.8
1996,SEA,37.1
1996,CHI,39.8
1996,MAF,8.4
1996,SSA,16.0
1996,SIS,1.8
1997,USA,31.4
1997,CAN,4.2
1997,WEU,19.5
1997,JPK,3.0
1997,ANZ,7.5
1997,EEU,8.2
1997,FSU,41.8
1997,MDE,8.1
1997,CAM,5.5
1997,LAM,27.4
1997,SAS,30.2
1997,SEA,36.3
1997,CHI,39.0
1997,MAF,8.3
1997,SSA,15.7
1997,SIS,1.8
1998,USA,30.7
1998,CAN,4.1
1998,WEU,19.1
1998,JPK,3.0
1998,ANZ,7.3
1998,EEU,8.0
1998,FSU,40.9
1998,MDE,7.9
1998,CAM,5.4
1998,LAM,26.8
1998,SAS,29.5
1998,SEA,35.5
1998,CHI,38.1
1998,MAF,8.1
1998,SSA,15.3
1998,SIS,1.7
1999,USA,30.0
1999,CAN,4.0
1999,WEU,18.7
1999,JPK,2.9
1999,ANZ,7.1
1999,EEU,7.9
1999,FSU,39.9
1999,MDE,7.7
1999,CAM,5.3
1999,LAM,26.2
1999,SAS,28.9
1999,SEA,34.7
1999,CHI,37.3
1999,MAF,7.9
1999,SSA,15.0
1999,SIS,1.7
2000,USA,29.3
2000,CAN,3.9
2000,WEU,18.2
2000,JPK,2.8
2000,ANZ,6.9
2000,EEU,7.7
2000,FSU,39.0
2000,MDE,7.6
2000,CAM,5.2
2000,LAM,25.6
2000,SAS,28.2
2000,SEA,33.9
2000,CHI,36.4
2000,MAF,7.7
2000,SSA,14.6
2000,SIS,1.6
2001,USA,29.6
2001,CAN,4.0
2001,WEU,18.3
2001,JPK,2.9
2001,ANZ,6.6
2001,EEU,7.6
2001,FSU,39.9
2001,MDE,7.9
2001,CAM,5.4
2001,LAM,26.2
2001,SAS,28.8
2001,SEA,35.1
2001,CHI,36.9
2001,MAF,7.9
2001,SSA,15.6
2001,SIS,1.7
2002,USA,30.0
2002,CAN,4.1
2002,WEU,18.4
2002,JPK,2.9
2002,ANZ,6.2
2002,EEU,7.5
2002,FSU,40.9
2002,MDE,8.1
2002,CAM,5.6
2002,LAM,26.8
2002,SAS,29.4
2002,SEA,36.3
2002,CHI,37.4
2002,MAF,8.2
2002,SSA,16.6
2002,SIS,1.7
2003,USA,30.3
2003,CAN,4.2
2003,WEU,18.6
2003,JPK,2.9
2003,ANZ,5.8
2003,EEU,7.5
2003,FSU,41.9
2003,MDE,8.4
2003,CAM,5.8
2003,LAM,27.4
2003,SAS,30.0
2003,SEA,37.6
2003,CHI,37.9
2003,MAF,8.4
2003,SSA,17.6
2003,SIS,1.7
2004,USA,30.6
2004,CAN,4.3
2004,WEU,18.7
2004,JPK,2.9
2004,ANZ,5.5
2004,EEU,7.4
2004,FSU,42.9
2004,MDE,8.7
2004,CAM,6.0
2004,LAM,28.0
2004,SAS,30.6
2004,SEA,38.8
2004,CHI,38.4
2004,MAF,8.7
2004,SSA,18.5
2004,SIS,1.7
2005,USA,31.0
2005,CAN,4.3
2005,WEU,18.8
2005,JPK,3.0
2005,ANZ,5.1
2005,EEU,7.3
2005,FSU,43.9
2005,MDE,9.0
2005,CAM,6.2
2005,LAM,28.6
2005,SAS,31.3
2005,SEA,40.0
2005,CHI,38.9
2005,MAF,8.9
2005,SSA,19.5
2005,SIS,1.7
2006,USA,31.3
2006,CAN,4.4
2006,WEU,18.9
2006,JPK,3.0
2006,ANZ,4.7
2006,EEU,7.3
2006,FSU,44.8
2006,MDE,9.3
2006,CAM,6.4
2006,LAM,29.2
2006,SAS,31.9
2006,SEA,41.3
2006,CHI,39.4
2006,MAF,9.2
2006,SSA,20.5
2006,SIS,1.8
2007,USA,31.4
2007,CAN,4.6
2007,WEU,19.1
2007,JPK,3.0
2007,ANZ,4.7
2007,EEU,7.3
2007,FSU,45.2
2007,MDE,9.7
2007,CAM,6.6
2007,LAM,29.5
2007,SAS,32.3
2007,SEA,42.3
2007,CHI,39.9
2007,MAF,9.5
2007,SSA,20.8
2007,SIS,1.8
2008,USA,31.6
2008,CAN,4.7
2008,WEU,19.3
2008,JPK,3.0
2008,ANZ,4.7
2008,EEU,7.4
2008,FSU,45.6
2008,MDE,10.0
2008,CAM,6.8
2008,LAM,29.8
2008,SAS,32.8
2008,SEA,43.3
2008,CHI,40.4
2008,MAF,9.8
2008,SSA,21.1
2008,SIS,1.8
2009,USA,31.7
2009,CAN,4.8
2009,WEU,19.4
2009,JPK,3.1
2009,ANZ,4.7
2009,EEU,7.5
2009,FSU,45.9
2009,MDE,10.3
2009,CAM,7.0
2009,LAM,30.1
2009,SAS,33.2
2009,SEA,44.3
2009,CHI,40.9
2009,MAF,10.2
2009,SSA,21.3
2009,SIS,1.8
2010,USA,31.6
2010,CAN,5.0
2010,WEU,19.7
2010,JPK,3.1
2010,ANZ,5.1
2010,EEU,7.7
2010,FSU,45.7
2010,MDE,10.7
2010,CAM,7.1
2010,LAM,30.1
2010,SAS,33.5
2010,SEA,45.2
2010,CHI,41.5
2010,MAF,10.6
2010,SSA,20.9
2010,SIS,1.8
2011,USA,32.0
2011,CAN,5.1
2011,WEU,19.8
2011,JPK,3.1
2011,ANZ,4.7
2011,EEU,7.6
2011,FSU,46.6
2011,MDE,11.0
2011,CAM,7.3
2011,LAM,30.7
2011,SAS,34.1
2011,SEA,46.4
2011,CHI,42.0
2011,MAF,10.8
2011,SSA,21.9
2011,SIS,1.8
2012,USA,32.1
2012,CAN,5.3
2012,WEU,19.9
2012,JPK,3.1
2012,ANZ,4.7
2012,EEU,7.8
2012,FSU,47.6
2012,MDE,11.4
2012,CAM,7.5
2012,LAM,31.9
2012,SAS,34.6
2012,SEA,47.6
2012,CHI,42.5
2012,MAF,11.2
2012,SSA,22.3
2012,SIS,1.9
2013,USA,32.3
2013,CAN,5.4
2013,WEU,20.0
2013,JPK,3.1
2013,ANZ,4.7
2013,EEU,8.0
2013,FSU,48.6
2013,MDE,11.7
2013,CAM,7.6
2013,LAM,33.0
2013,SAS,35.2
2013,SEA,48.8
2013,CHI,43.0
2013,MAF,11.5
2013,SSA,22.7
2013,SIS,1.9
2014,USA,32.4
2014,CAN,5.6
2014,WEU,20.1
2014,JPK,3.1
2014,ANZ,4.7
2014,EEU,8.1
2014,FSU,49.5
2014,MDE,12.1
2014,CAM,7.8
2014,LAM,34.1
2014,SAS,35.7
2014,SEA,49.9
2014,CHI,43.5
2014,MAF,11.9
2014,SSA,23.2
2014,SIS,1.9
2015,USA,32.4
2015,CAN,5.8
2015,WEU,20.2
2015,JPK,3.1
2015,ANZ,5.1
2015,EEU,8.5
2015,FSU,50.5
2015,MDE,12.5
2015,CAM,7.9
2015,LAM,35.7
2015,SAS,36.2
2015,SEA,51.1
2015,CHI,44.1
2015,MAF,12.3
2015,SSA,23.0
2015,SIS,1.9
2016,USA,32.7
2016,CAN,5.9
2016,WEU,20.3
2016,JPK,3.1
2016,ANZ,4.7
2016,EEU,8.5
2016,FSU,51.5
2016,MDE,12.8
2016,CAM,8.1
2016,LAM,36.3
2016,SAS,36.8
2016,SEA,52.3
2016,CHI,44.6
2016,MAF,12.5
2016,SSA,24.0
2016,SIS,1.9
2017,USA,32.9
2017,CAN,6.0
2017,WEU,20.2
2017,JPK,3.1
2017,ANZ,4.7
2017,EEU,8.9
2017,FSU,52.9
2017,MDE,13.3
2017,CAM,8.3
2017,LAM,36.7
2017,SAS,37.2
2017,SEA,53.2
2017,CHI,45.0
2017,MAF,12.9
2017,SSA,24.5
2017,SIS,2.0
2018,USA,33.2
2018,CAN,6.1
2018,WEU,20.2
2018,JPK,3.1
2018,ANZ,4.7
2018,EEU,9.3
2018,FSU,54.2
2018,MDE,13.7
2018,CAM,8.6
2018,LAM,37.0
2018,SAS,37.6
2018,SEA,54.1
2018,CHI,45.5
2018,MAF,13.3
2018,SSA,25.0
2018,SIS,2.0
2019,USA,33.4
2019,CAN,6.2
2019,WEU,20.1
2019,JPK,3.1
2019,ANZ,4.7
2019,EEU,9.8
2019,FSU,55.6
2019,MDE,14.1
2019,CAM,8.9
2019,LAM,37.4
2019,SAS,38.1
2019,SEA,55.0
2019,CHI,45.9
2019,MAF,13.7
2019,SSA,25.5
2019,SIS,2.0
2020,USA,33.5
2020,CAN,6.4
2020,WEU,19.9
2020,JPK,3.1
2020,ANZ,5.1
2020,EEU,10.7
2020,FSU,57.4
2020,MDE,14.6
2020,CAM,9.2
2020,LAM,37.5
2020,SAS,38.3
2020,SEA,55.5
2020,CHI,46.3
2020,MAF,14.2
2020,SSA,25.6
2020,SIS,2.0
2021,USA,33.8
2021,CAN,6.5
2021,WEU,20.0
2021,JPK,3.1
2021,ANZ,4.8
2021,EEU,10.6
2021,FSU,58.3
2021,MDE,14.9
2021,CAM,9.4
2021,LAM,38.1
2021,SAS,38.9
2021,SEA,56.7
2021,CHI,46.8
2021,MAF,14.4
2021,SSA,26.5
2021,SIS,2.0
2022,USA,34.2
2022,CAN,6.5
2022,WEU,20.0
2022,JPK,3.1
2022,ANZ,4.8
2022,EEU,11.0
2022,FSU,59.3
2022,MDE,15.4
2022,CAM,9.5
2022,LAM,39.1
2022,SAS,39.5
2022,SEA,57.5
2022,CHI,47.5
2022,MAF,14.8
2022,SSA,26.6
2022,SIS,2.1
2023,USA,34.6
2023,CAN,6.6
2023,WEU,20.0
2023,JPK,3.1
2023,ANZ,4.8
2023,EEU,11.3
2023,FSU,60.2
2023,MDE,15.8
2023,CAM,9.6
2023,LAM,40.0
2023,SAS,40.1
2023,SEA,58.2
2023,CHI,48.2
2023,MAF,15.2
2023,SSA,26.7
2023,SIS,2.1
2024,USA,35.0
2024,CAN,6.6
2024,WEU,19.9
2024,JPK,3.1
2024,ANZ,4.8
2024,EEU,11.7
2024,FSU,61.2
2024,MDE,16.3
2024,CAM,9.7
2024,LAM,41.0
2024,SAS,40.6
2024,SEA,58.9
2024,CHI,48.9
2024,MAF,15.6
2024,SSA,26.8
2024,SIS,2.1
2025,USA,35.5
2025,CAN,6.6
2025,WEU,19.8
2025,JPK,3.1
2025,ANZ,5.2
2025,EEU,12.5
2025,FSU,62.1
2025,MDE,16.8
2025,CAM,9.7
2025,LAM,42.3
2025,SAS,41.2
2025,SEA,59.1
2025,CHI,49.8
2025,MAF,16.1
2025,SSA,26.0
2025,SIS,2.1
2026,USA,35.8
2026,CAN,6.7
2026,WEU,19.9
2026,JPK,3.1
2026,ANZ,4.8
2026,EEU,12.4
2026,FSU,63.0
2026,MDE,17.1
2026,CAM,9.9
2026,LAM,42.9
2026,SAS,41.8
2026,SEA,60.4
2026,CHI,50.3
2026,MAF,16.4
2026,SSA,27.0
2026,SIS,2.1
2027,USA,36.2
2027,CAN,6.6
2027,WEU,19.9
2027,JPK,3.2
2027,ANZ,4.9
2027,EEU,12.0
2027,FSU,63.5
2027,MDE,17.7
2027,CAM,10.2
2027,LAM,43.6
2027,SAS,42.4
2027,SEA,61.1
2027,CHI,51.2
2027,MAF,16.9
2027,SSA,27.4
2027,SIS,2.1
2028,USA,36.5
2028,CAN,6.4
2028,WEU,19.9
2028,JPK,3.2
2028,ANZ,4.9
2028,EEU,11.5
2028,FSU,64.0
2028,MDE,18.2
2028,CAM,10.5
2028,LAM,44.4
2028,SAS,43.0
2028,SEA,61.8
2028,CHI,52.1
2028,MAF,17.4
2028,SSA,27.7
2028,SIS,2.2
2029,USA,36.8
2029,CAN,6.3
2029,WEU,19.9
2029,JPK,3.2
2029,ANZ,4.9
2029,EEU,11.0
2029,FSU,64.5
2029,MDE,18.8
2029,CAM,10.7
2029,LAM,45.1
2029,SAS,43.6
