time,acsf6
1950,0.04
1951,0.041571749868918755
1952,0.04474954459537836
1953,0.04956967396975602
1954,0.05607052910629399
1955,0.06429271459091886
1956,0.0742791665584039
1957,0.08607527701953517
1958,0.09972902477696634
1959,0.11529111328752839
1960,0.13281511584896413
1961,0.15233027412215217
1962,0.1738893299051504
1963,0.19754774428575922
1964,0.22336383424526463
1965,0.25139891642680934
1966,0.2817174584728557
1967,0.3143872383608914
1968,0.34947951219282647
1969,0.3870691909215419
1970,0.42724567925147716
1971,0.4700583632344756
1972,0.515612055145765
1973,0.5641030105906043
1974,0.6160468694177451
1975,0.6718026151840794
1976,0.7315750921571565
1977,0.7956499233472105
1978,0.8652062694194691
1979,0.9406386530567091
1980,1.0223197002131623
1981,1.1116872266659628
1982,1.2093495190361554
1983,1.315960243244167
1984,1.4322218710285808
1985,1.5591321745040732
1986,1.6975817610285715
1987,1.8485118065712645
1988,2.012941658931521
1989,2.191986575617279
1990,2.386921531775452
1991,2.590894480357632
1992,2.804378697223529
1993,3.027867630019871
1994,3.261898274445696
1995,3.5070149290398036
1996,3.7669996264985848
1997,4.044588455284655
1998,4.339769299868181
1999,4.648897131356885
2000,4.9749065931472005
2001,5.322703463274204
2002,5.6874906074026015
2003,6.070015880058427
2004,6.471007391415057
2005,6.891213688034014
2006,7.331411208077426
2007,7.792400864083945
2008,8.275016807788223
2009,8.780123570599622
2010,9.308619559868221
2011,9.84681202207857
2012,10.394650388414222
2013,10.95207870446745
2014,11.519032384802806
2015,12.09544129035278
2016,12.681226457030704
2017,13.27630181790464
2018,13.88057601491014
2019,14.493949007179873
2020,15.116315470424192
2021,15.747561399743368
2022,16.387628256799967
2023,17.036454336003857
2024,17.69397108556783
2025,18.360106721800246
2026,19.03478254613719
2027,19.717903833125096
2028,20.409368796667955
2029,21.109069419020532
2030,21.816892555033995
2031,22.532720709739433
2032,23.25653881318261
2033,23.988329236410525
2034,24.728072364512634
2035,25.47574807626636
2036,26.23133623514441
2037,26.994815504191656
2038,27.766162319096907
2039,28.545351144635227
2040,29.33235636326081
2041,30.12715241781064
2042,30.929625188429373
2043,31.739655658064432
2044,32.557119792001416
2045,33.381890878111655
2046,34.2138392619516
2047,35.05283153217615
2048,35.898729928713216
2049,36.75139180121723
2050,37.610672450186684
2051,38.47642441801342
2052,39.34875958718637
2053,40.22779293947578
2054,41.11363967396126
2055,42.0064204894008
2056,42.90625874286141
2057,43.81328085662425
2058,44.72761678631792
2059,45.64939681267328
2060,46.57875738792302
2061,47.51583797584947
2062,48.46078153145076
2063,49.413735047840404
2064,50.37484598382763
2065,51.344268741975604
2066,52.32216115022637
2067,53.30868501862281
2068,54.304006771214574
2069,55.308293465906395
2070,56.321719979352444
2071,57.34446508912151
2072,58.37664444897049
2073,59.41837409235698
2074,60.4697658317306
2075,61.53093505507453
2076,62.601996179673534
2077,63.682821789054216
2078,64.77327272590114
2079,65.8732021112395
2080,66.98245132469343
2081,68.10085407237713
2082,69.22827315847736
2083,70.36456192363327
2084,71.50956829727961
2085,72.6631308518811
2086,73.82508288815968
2087,74.99525033941897
2088,76.17344969200798
2089,77.35949207393685
2090,78.55317940798746
2091,79.75430853193917
2092,80.96267544202105
2093,82.17806761280622
2094,83.40026809631951
2095,84.6290517647576
2096,85.86418942598124
2097,87.10544583141632
2098,88.35257771283788
2099,89.6053378924691
2100,90.86347162480334
2101,92.12672071965117
2102,93.39496461211614
2103,94.66807897825134
2104,95.94593576988312
2105,97.22840325198553
2106,98.51534604443603
2107,99.80662516804763
2108,101.10209809409959
2109,102.40161879767605
2110,103.70503781716839
2111,105.0122023173331
2112,106.32297025980225
2113,107.63719667223398
2114,108.95473370790722
2115,110.27543070874124
2116,111.5991342715543
2117,112.92568831734101
2118,114.25493416384883
2119,115.58671060088233
2120,116.92085396876077
2121,118.25719823958663
2122,119.59557974153284
2123,120.9358326645176
2124,122.27778914282872
2125,123.62127934067543
2126,124.96613153981643
2127,126.31217222942895
2128,127.6592261978526
2129,129.00711662634117
2130,130.3556651846988
2131,131.70469212850062
2132,133.05401639815298
2133,134.40345571945755
2134,135.75282670540986
2135,137.10194495950208
2136,138.4506251799943
2137,139.79868126513384
2138,141.14592641954184
2139,142.4921732614298
2140,143.8372339307037
2141,145.18092019732225
2142,146.523043569984
2143,147.86341540554372
2144,149.20184701841973
2145,150.5381497900723
2146,151.87213527872953
2147,153.2036153285188
2148,154.5324021791911
2149,155.85830857486278
2150,157.18114787219938
2151,158.5007341480143
2152,159.8170689895804
2153,161.13015418006185
2154,162.4399917008001
2155,163.74658373305465
2156,165.0499326592767
2157,166.35004106442426
2158,167.64691173677895
2159,168.94054766841398
2160,170.2309520560083
2161,171.51812830064574
2162,172.80208000774556
2163,174.0828109867676
2164,175.36032525058263
2165,176.63462701464576
2166,177.90572069614623
2167,179.17361091271357
2168,180.43830248117487
2169,181.6998004159297
2170,182.95810992725208
2171,184.2132364194232
2172,185.46518548897578
2173,186.7139629220709
2174,187.9595746922323
2175,189.202026957793
2176,190.44132605944841
2177,191.6774785174378
2178,192.91049102871008
2179,194.1403704639854
2180,195.36712386461426
2181,196.59075843939942
2182,197.81128156119874
2183,199.0287007637266
2184,200.24302373797516
2185,201.4542583287884
2186,202.6624125315856
2187,203.86749448861482
2188,205.0695124854302
2189,206.26847494710793
2190,207.46439043451952
2191,208.65726764057354
2192,209.84711538630654
2193,211.03394262056804
2194,212.2177584115473
2195,213.398571946163
2196,214.57639252112452
2197,215.75122954240595
2198,216.92309252136164
2199,218.0919910710919
2200,219.2579349024864
