type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.3,1258.24833984375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.35,1275.245068359375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.4,1296.47900390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.45,1308.18759765625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.5,1323.14892578125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.55,1343.45419921875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.6,1361.20693359375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.65,1385.795849609375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.7,1405.592041015625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.75,1431.519775390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.8,1463.76875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.85,1504.0786621093748,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.9,1531.03251953125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.95,1610.2365722656245,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.975,1667.4421630859374,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.99,1707.3916894531249,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Florida
quantile,0.01,1054.1170263671875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.025,1098.399658203125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.05,1169.178271484375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.1,1223.98525390625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.15,1278.833984375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.2,1311.4048828125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.25,1333.3076171875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
