type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.1,696.4774047851563,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.15,756.285400390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.2,793.776904296875,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.25,821.4938354492188,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.3,851.5343994140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.35,889.1059448242187,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.4,914.8689453125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.45,933.1330322265625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.5,952.078125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.55,989.9242065429687,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.6,1011.401318359375,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.65,1041.6536010742188,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.7,1071.4742919921873,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.75,1118.5191650390625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.8,1169.87392578125,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.85,1210.2626831054688,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.9,1285.72744140625,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.95,1394.7262329101559,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.975,1531.3270996093747,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.99,1668.5269848632813,3.0 week(s) ahead  inc hosp,2023-12-09,2023-12-30,Pennsylvania
quantile,0.01,738.4857006835938,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.025,774.8576599121094,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.05,835.3828369140625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.1,908.7695068359376,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.15,987.5783813476562,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.2,1035.10546875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.25,1073.0398559570312,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.3,1116.8234130859375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.35,1160.1434814453123,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.4,1192.285205078125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.45,1220.6462890625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.5,1246.7889404296875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.55,1292.0367675781251,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.6,1322.976953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.65,1360.4279296875002,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.7,1397.545849609375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.75,1451.2991333007812,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.8,1523.3783203125001,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.85,1573.666943359375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.9,1674.139501953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.95,1816.3778076171873,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.975,1959.9323974609374,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
quantile,0.99,2141.161826171875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Pennsylvania
