date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-05-24,US,637885,170159894,601622,130615797,1327126,306349094,,,310102,67434538,737021,154856445,,,234435,52916100,375110,121500687,,,57032,10210450,57979,10323402,,,,,,
2021-05-25,US,670043,170829937,462811,131078608,1443269,307792363,,,213877,67648415,538544,155394989,,,198958,53115058,300498,121801185,,,49867,10260317,58457,10381859,,,,,,
2021-05-26,US,662455,171492392,771481,131850089,1439305,309231668,,,350412,67998827,802171,156197160,,,340678,53455736,538084,122339269,,,79757,10340074,81219,10463078,,,,,,
2021-05-27,US,616384,172108776,919805,132769894,1353842,310585510,,,414684,68413511,826305,157023465,,,429278,53885014,607867,122947136,,,75217,10415291,76416,10539494,,,,,,
2021-05-28,US,605779,172714555,762650,133532544,1335376,311920886,,,321710,68735221,759850,157783315,,,359811,54244825,532060,123479196,,,80592,10495883,81642,10621136,,,,,,
2021-05-29,US,381420,173095975,886204,134418748,767186,312688072,,,399926,69135147,925308,158708623,,,397413,54642238,588360,124067556,,,88216,10584099,89680,10710816,,,,,,
2021-05-30,US,201074,173297049,668571,135087319,385793,313073865,,,295437,69430584,703408,159412031,,,307816,54950054,453358,124520914,,,64877,10648976,65801,10776617,,,,,,
2021-05-31,US,89148,173386197,0,135087319,202921,313276786,,,0,69430584,0,159412031,,,0,54950054,0,124520914,,,0,10648976,0,10776617,,,,,,
2021-06-01,US,531632,173917829,780106,135867425,1281387,314558173,,,388340,69818924,897231,160309262,,,310275,55260329,495793,125016707,,,81381,10730357,82047,10858664,,,,,,
2021-06-02,US,496869,174414698,287825,136155250,1124206,315682379,,,134408,69953332,292133,160601395,,,122732,55383061,184850,125201557,,,30387,10760744,30814,10889478,,,,,,
2021-06-03,US,465027,174879725,489368,136644618,1252622,316935001,,,228037,70181369,449118,161050513,,,211026,55594087,306756,125508313,,,49748,10810492,50423,10939901,,,,,,
2021-06-04,US,502011,175381736,810749,137455367,1409418,318344419,,,415808,70597177,840384,161890897,,,320528,55914615,482482,125990795,,,73751,10884243,74872,11014773,,,,,,
2021-06-05,US,354552,175736288,657335,138112702,1074990,319419409,,,361637,70958814,715222,162606119,,,233162,56147777,368604,126359399,,,62077,10946320,62962,11077735,,,,,,
2021-06-06,US,171580,175907868,856621,138969323,518230,319937639,,,525861,71484675,906670,163512789,,,266059,56413836,396660,126756059,,,64309,11010629,65333,11143068,,,,,,
2021-06-07,US,373664,176281532,779338,139748661,1076252,321013891,,,527145,72011820,858957,164371746,,,200877,56614713,302453,127058512,,,51226,11061855,51617,11194685,,,,,,
2021-06-08,US,405030,176686562,693296,140441957,1180541,322194432,,,477861,72489681,768493,165140239,,,165216,56779929,252285,127310797,,,50145,11112000,50703,11245388,,,,,,
2021-06-09,US,393151,177079713,538153,140980110,1172108,323366540,,,362676,72852357,575284,165715523,,,126472,56906401,202354,127513151,,,48519,11160519,50626,11296014,,,,,,
2021-06-10,US,406147,177485860,603142,141583252,1175366,324541906,,,402700,73255057,635803,166351326,,,149902,57056303,246196,127759347,,,50069,11210588,50767,11346781,,,,,,
2021-06-11,US,429548,177915408,512278,142095530,1237641,325779547,,,338055,73593112,553862,166905188,,,137813,57194116,231019,127990366,,,36221,11246809,36741,11383522,,,,,,
2021-06-12,US,281185,178196593,1023547,143119077,896196,326675743,,,663309,74256421,1073657,167978845,,,287421,57481537,454059,128444425,,,72276,11319085,73489,11457011,,,,,,
2021-06-13,US,113875,178310468,802145,143921222,395154,327070897,,,524593,74781014,805704,168784549,,,217304,57698841,341510,128785935,,,59708,11378793,60945,11517956,,,,,,
2021-06-14,US,333082,178643550,998117,144919339,918034,327988931,,,593452,75374466,827496,169612045,,,317142,58015983,405830,129191765,,,86975,11465768,88246,11606202,,,,,,
2021-06-15,US,361653,179005203,849028,145768367,982953,328971884,,,586296,75960762,870905,170482950,,,203279,58219262,309324,129501089,,,59325,11525093,60235,11666437,,,,,,
2021-06-16,US,359435,179364638,687757,146456124,949046,329920930,,,456436,76417198,692625,171175575,,,183820,58403082,286922,129788011,,,47325,11572418,48440,11714877,,,,,,
2021-06-17,US,351809,179716447,1302461,147758585,898019,330818949,,,836977,77254175,1381185,172556760,,,368211,58771293,571964,130359975,,,96155,11668573,97862,11812739,,,,,,
2021-06-18,US,368996,180085443,700418,148459003,926376,331745325,,,451502,77705677,723404,173280164,,,191032,58962325,296038,130656013,,,57318,11725891,58297,11871036,,,,,,
2021-06-19,US,231344,180316787,666161,149125164,576491,332321816,,,402133,78107810,688178,173968342,,,204149,59166474,318879,130974892,,,59367,11785258,60356,11931392,,,,,,
2021-06-20,US,112363,180429150,542482,149667646,277820,332599636,,,336992,78444802,553525,174521867,,,150519,59316993,238560,131213452,,,54505,11839763,55203,11986595,,,,,,
2021-06-21,US,302745,180731895,378360,150046006,564630,333164266,,,249827,78694629,422116,174943983,,,100581,59417574,158655,131372107,,,27907,11867670,29126,12015721,,,,,,
2021-06-22,US,324342,181056237,378669,150424675,758479,333922745,,,232734,78927363,429946,175373929,,,114441,59532015,185126,131557233,,,31318,11898988,31850,12047571,,,,,,
2021-06-23,US,330821,181387058,362628,150787303,738926,334661671,,,197101,79124464,399761,175773690,,,123395,59655410,204176,131761409,,,41553,11940541,42590,12090161,,,,,,
2021-06-24,US,318604,181705662,464731,151252034,702004,335363675,,,264423,79388887,511726,176285416,,,151266,59806676,252097,132013506,,,48424,11988965,49403,12139564,,,,,,
2021-06-25,US,351047,182056709,363520,151615554,769569,336133244,,,282179,79671066,435655,176721071,,,52464,59859140,45098,132058604,,,28329,12017294,29741,12169305,,,,,,
2021-06-26,US,225964,182282673,568689,152184243,500915,336634159,,,350123,80021189,600559,177321630,,,174680,60033820,277290,132335894,,,43343,12060637,44255,12213560,,,,,,
2021-06-27,US,127491,182410164,844422,153028665,268539,336902698,,,587100,80608289,849373,178171003,,,215508,60249328,311499,132647393,,,41523,12102160,42448,12256008,,,,,,
2021-06-28,US,276444,182686608,747453,153776118,556775,337459473,,,543797,81152086,794466,178965469,,,168865,60418193,256918,132904311,,,34580,12136740,34999,12291007,,,,,,
2021-06-29,US,298461,182985069,423546,154199664,630787,338090260,,,291118,81443204,521507,179486976,,,101101,60519294,184771,133089082,,,31197,12167937,31810,12322817,,,,,,
2021-06-30,US,308149,183293218,685022,154884686,634866,338725126,,,410424,81853628,858021,180344997,,,192009,60711303,425786,133514868,,,81997,12249934,82929,12405746,,,,,,
2021-07-01,US,294795,183588013,999915,155884601,613140,339338266,,,605365,82458993,1002439,181347436,,,330975,61042278,561800,134076668,,,62908,12312842,64693,12470439,,,,,,
2021-07-02,US,306850,183894863,371295,156255896,622734,339961000,,,225237,82684230,428664,181776100,,,106148,61148426,186671,134263339,,,39291,12352133,40089,12510528,,,,,,
2021-07-03,US,182301,184077164,726653,156982549,358485,340319485,,,433589,83117819,723440,182499540,,,222907,61371333,364224,134627563,,,69335,12421468,71195,12581723,,,,,,
2021-07-04,US,27907,184105071,341189,157323738,50656,340370141,,,212096,83329915,420535,182920075,,,93721,61465054,176148,134803711,,,34963,12456431,35731,12617454,,,,,,
2021-07-05,US,202087,184307158,0,157323738,398527,340768668,,,0,83329915,0,182920075,,,0,61465054,0,134803711,,,0,12456431,0,12617454,,,,,,
2021-07-06,US,273979,184581137,312350,157636088,585901,341354569,,,193726,83523641,411106,183331181,,,90026,61555080,169530,134973241,,,28509,12484940,29150,12646604,,,,,,
2021-07-07,US,282801,184863938,272083,157908171,572760,341927329,,,163741,83687382,280569,183611750,,,86437,61641517,133812,135107053,,,21779,12506719,22281,12668885,,,,,,
2021-07-08,US,289462,185153400,379395,158287566,568113,342495442,,,238895,83926277,462170,184073920,,,100674,61742191,190172,135297225,,,39188,12545907,40074,12708959,,,,,,
2021-07-09,US,322215,185475615,341865,158629431,633574,343129016,,,201006,84127283,395397,184469317,,,98289,61840480,180680,135477905,,,41943,12587850,42659,12751618,,,,,,
2021-07-10,US,211588,185687203,324986,158954417,401617,343530633,,,198721,84326004,391852,184861169,,,86732,61927212,165159,135643064,,,38795,12626645,39697,12791315,,,,,,
2021-07-11,US,116871,185804074,312119,159266536,217219,343747852,,,193505,84519509,388549,185249718,,,84167,62011379,161624,135804688,,,33979,12660624,34652,12825967,,,,,,
2021-07-12,US,275547,186079621,232688,159499224,522599,344270451,,,151249,84670758,312517,185562235,,,57710,62069089,112141,135916829,,,23611,12684235,24095,12850062,,,,,,
2021-07-13,US,281562,186361183,175939,159675163,528788,344799239,,,111731,84782489,236404,185798639,,,44849,62113938,85130,136001959,,,19210,12703445,19454,12869516,,,,,,
2021-07-14,US,284580,186645763,451353,160126516,533667,345332906,,,239625,85022114,328828,186127467,,,174483,62288421,178753,136180712,,,36427,12739872,35583,12905099,,,,,,
2021-07-15,US,298345,186944108,282022,160408538,542625,345875531,,,178080,85200194,381737,186509204,,,72570,62360991,151713,136332425,,,30654,12770526,31495,12936594,,,,,,
2021-07-16,US,346495,187290603,277840,160686378,624332,346499863,,,173509,85373703,366732,186875936,,,74585,62435576,150852,136483277,,,29236,12799762,30008,12966602,,,,,,
2021-07-17,US,224071,187514674,307657,160994035,400798,346900661,,,195056,85568759,430837,187306773,,,76163,62511739,164785,136648062,,,35398,12835160,36497,13003099,,,,,,
2021-07-18,US,135427,187650101,238448,161232483,234337,347134998,,,156410,85725169,345907,187652680,,,58467,62570206,129715,136777777,,,23059,12858219,23695,13026794,,,,,,
2021-07-19,US,339402,187989503,241232,161473715,568603,347703601,,,157267,85882436,348665,188001345,,,64642,62634848,138102,136915879,,,18954,12877173,19239,13046033,,,,,,
2021-07-20,US,371617,188361120,0,161473715,603791,348307392,,,0,85882436,0,188001345,,,0,62634848,0,136915879,,,0,12877173,0,13046033,,,,,,
2021-07-21,US,387627,188748747,421330,161895045,632452,348939844,,,269183,86151619,600572,188601917,,,104064,62738912,205228,137121107,,,47040,12924213,46943,13092976,,,,,,
2021-07-22,US,416468,189165215,279120,162174165,650159,349590003,,,179695,86331314,454755,189056672,,,66363,62805275,170132,137291239,,,32261,12956474,33467,13126443,,,,,,
2021-07-23,US,487350,189652565,261111,162435276,748012,350338015,,,163747,86495061,405788,189462460,,,65269,62870544,159900,137451139,,,31280,12987754,31999,13158442,,,,,,
2021-07-24,US,302154,189954719,290536,162725812,464268,350802283,,,194854,86689915,481343,189943803,,,62780,62933324,159528,137610667,,,32131,13019885,32856,13191298,,,,,,
2021-07-25,US,202351,190157070,299914,163025726,260197,351062480,,,191034,86880949,524368,190468171,,,72505,63005829,215848,137826515,,,35808,13055693,37009,13228307,,,,,,
2021-07-26,US,446958,190604028,147640,163173366,644635,351707115,,,97546,86978495,276190,190744361,,,35658,63041487,102166,137928681,,,14386,13070079,14558,13242865,,,,,,
2021-07-27,US,480829,191084857,139108,163312474,703214,352410329,,,89125,87067620,277085,191021446,,,35115,63076602,102961,138031642,,,14733,13084812,15013,13257878,,,,,,
2021-07-28,US,491584,191576441,275568,163588042,722287,353132616,,,153686,87221306,489507,191510953,,,86471,63163073,226021,138257663,,,34412,13119224,35404,13293282,,,,,,
2021-07-29,US,498296,192074737,280874,163868916,722828,353855444,,,167138,87388444,472619,191983572,,,77905,63240978,199211,138456874,,,35018,13154242,35719,13329001,,,,,,
2021-07-30,US,577578,192652315,315164,164184080,839436,354694880,,,191558,87580002,576562,192560134,,,81339,63322317,235446,138692320,,,41530,13195772,42559,13371560,,,,,,
2021-07-31,US,347369,192999684,262884,164446964,517658,355212538,,,158141,87738143,480916,193041050,,,67395,63389712,191399,138883719,,,36635,13232407,37363,13408923,,,,,,
2021-08-01,US,229099,193228783,310459,164757423,334965,355547503,,,190079,87928222,555130,193596180,,,83606,63473318,222038,139105757,,,36200,13268607,37272,13446195,,,,,,
2021-08-02,US,506831,193735614,162243,164919666,722461,356269964,,,109139,88037361,329497,193925677,,,35395,63508713,120051,139225808,,,17623,13286230,17831,13464026,,,,,,
2021-08-03,US,539137,194274751,161750,165081416,765000,357034964,,,117237,88154598,327094,194252771,,,28989,63537702,109595,139335403,,,15423,13301653,15776,13479802,,,,,,
2021-08-04,US,553183,194827934,253571,165334987,780355,357815319,,,167425,88322023,508480,194761251,,,50114,63587816,178442,139513845,,,35329,13336982,36141,13515943,,,,,,
2021-08-05,US,561101,195389035,302579,165637566,795507,358610826,,,191540,88513563,590446,195351697,,,69410,63657226,228688,139742533,,,40433,13377415,41434,13557377,,,,,,
2021-08-06,US,628298,196017333,280690,165918256,912298,359523124,,,172268,88685831,552057,195903754,,,69104,63726330,226934,139969467,,,38122,13415537,39138,13596515,,,,,,
2021-08-07,US,382839,196400172,284920,166203176,560357,360083481,,,176847,88862678,574114,196477868,,,65200,63791530,220237,140189704,,,42100,13457637,43058,13639573,,,,,,
2021-08-08,US,238404,196638576,274305,166477481,351942,360435423,,,177725,89040403,538438,197016306,,,62587,63854117,199005,140388709,,,33435,13491072,34534,13674107,,,,,,
2021-08-09,US,522152,197160728,176893,166654374,785961,361221384,,,122804,89163207,383165,197399471,,,37770,63891887,131808,140520517,,,16218,13507290,16993,13691100,,,,,,
2021-08-10,US,532100,197692828,207538,166861912,803565,362024949,,,142096,89305303,438137,197837608,,,44839,63936726,158057,140678574,,,20333,13527623,20756,13711856,,,,,,
2021-08-11,US,500626,198193454,243595,167105507,772605,362797554,,,154231,89459534,451123,198288731,,,55252,63991978,167259,140845833,,,33534,13561157,34467,13746323,,,,,,
2021-08-12,US,516740,198710194,249222,167354729,807571,363605125,,,159347,89618881,447322,198736053,,,51902,64043880,165256,141011089,,,36758,13597915,37813,13784136,,,,,,
2021-08-13,US,582691,199292885,344441,167699170,951152,364556277,,,238196,89857077,656802,199392855,,,69489,64113369,220129,141231218,,,36203,13634118,39326,13823462,,,,,,
2021-08-14,US,362700,199655585,391755,168090925,627194,365183471,,,264949,90122026,693546,200086401,,,86628,64199997,253489,141484707,,,39701,13673819,42302,13865764,,,,,,
2021-08-15,US,212037,199867622,271133,168362058,401330,365584801,,,190098,90312124,465248,200551649,,,55225,64255222,171919,141656626,,,25467,13699286,26622,13892386,,,,,,
2021-08-16,US,466330,200333952,327299,168689357,874293,366459094,,,237569,90549693,602059,201153708,,,64491,64319713,226175,141882801,,,25026,13724312,29515,13921901,,,,,,
2021-08-17,US,492290,200826242,208247,168897604,928375,367387469,,,132897,90682590,424265,201577973,,,22866,64342579,159398,142042199,,,55365,13779677,18955,13940856,,,,,,
2021-08-18,US,488746,201314988,288664,169186268,957969,368345438,,,198285,90880875,473527,202051500,,,57928,64400507,196953,142239152,,,31917,13811594,32498,13973354,,,,,,
2021-08-19,US,481841,201796829,406605,169592873,949511,369294949,,,281371,91162246,685283,202736783,,,86820,64487327,297735,142536887,,,37796,13849390,38404,14011758,,,,,,
2021-08-20,US,539013,202335842,406110,169998983,1112011,370406960,,,278465,91440711,679648,203416431,,,89349,64576676,290972,142827859,,,37720,13887110,38368,14050126,,,,,,
2021-08-21,US,322365,202658207,407802,170406785,669457,371076417,,,275199,91715910,679432,204095863,,,94847,64671523,320070,143147929,,,37204,13924314,48963,14099089,,,,,,
2021-08-22,US,186035,202844242,414836,170821621,392891,371469308,,,286746,92002656,655045,204750908,,,97137,64768660,286017,143433946,,,30665,13954979,31185,14130274,,,,,,
2021-08-23,US,442152,203286394,267333,171088954,923830,372393138,,,190198,92192854,425778,205176686,,,63896,64832556,170103,143604049,,,13209,13968188,14031,14144305,,,,,,
2021-08-24,US,462291,203748685,278703,171367657,954221,373347359,,,198400,92391254,449878,205626564,,,65391,64897947,181698,143785747,,,14821,13983009,16153,14160458,,,,,,
2021-08-25,US,469640,204218325,405713,171773370,970583,374317942,,,279448,92670702,638978,206265542,,,91898,64989845,250766,144036513,,,33850,14016859,35437,14195895,,,,,,
2021-08-26,US,476197,204694522,397639,172171009,993564,375311506,,,267049,92937751,635996,206901538,,,97534,65087379,253614,144290127,,,32764,14049623,34371,14230266,,,,,,
2021-08-27,US,533872,205228394,475943,172646952,1174615,376486121,,,321756,93259507,745083,207646621,,,119343,65206722,287977,144578104,,,34243,14083866,35665,14265931,,,,,,
2021-08-28,US,319529,205547923,0,172646952,714788,377200909,,,0,93259507,0,207646621,,,0,65206722,0,144578104,,,0,14083866,0,14265931,,,,,,
2021-08-29,US,194309,205742232,873259,173520211,432198,377633107,,,598741,93858248,1426553,209073174,,,210883,65417605,530811,145108915,,,62776,14146642,65039,14330970,,,,,,
2021-08-30,US,419179,206161411,311991,173832202,934744,378567851,,,222510,94080758,506508,209579682,,,75612,65493217,171835,145280750,,,13818,14160460,14690,14345660,,,,,,
2021-08-31,US,422642,206584053,289327,174121529,940076,379507927,,,203450,94284208,474830,210054512,,,73574,65566791,166741,145447491,,,12128,14172588,12981,14358641,,,,,,
2021-09-01,US,427044,207011097,478488,174600017,947401,380455328,,,323169,94607377,743540,210798052,,,122058,65688849,288530,145736021,,,32617,14205205,33972,14392613,,,,,,
2021-09-02,US,403096,207414193,373920,174973937,898581,381353909,,,249751,94857128,575022,211373074,,,97161,65786010,231542,145967563,,,26554,14231759,28363,14420976,,,,,,
2021-09-03,US,455410,207869603,564088,175538025,1044839,382398748,,,370460,95227588,946074,212319148,,,156157,65942167,411796,146379359,,,36796,14268555,39995,14460971,,,,,,
2021-09-04,US,247370,208116973,430241,175968266,562728,382961476,,,279916,95507504,660694,212979842,,,120305,66062472,277962,146657321,,,29560,14298115,31861,14492832,,,,,,
2021-09-05,US,168708,208285681,0,175968266,367853,383329329,,,0,95507504,0,212979842,,,0,66062472,0,146657321,,,0,14298115,0,14492832,,,,,,
2021-09-06,US,82076,208367757,0,175968266,178191,383507520,,,0,95507504,0,212979842,,,0,66062472,0,146657321,,,0,14298115,0,14492832,,,,,,
2021-09-07,US,355302,208723059,691230,176659496,913376,384420896,,,473249,95980753,1069877,214049719,,,184551,66247023,397045,147054366,,,33257,14331372,38992,14531824,,,,,,
2021-09-08,US,367308,209090367,445156,177104652,849703,385270599,,,294083,96274836,666834,214716553,,,131387,66378410,270288,147324654,,,19330,14350702,21472,14553296,,,,,,
2021-09-09,US,373866,209464233,328392,177433044,852416,386123015,,,203400,96478236,437327,215153880,,,97506,66475916,198537,147523191,,,27055,14377757,29505,14582801,,,,,,
2021-09-10,US,452194,209916427,466414,177899458,1039763,387162778,,,304277,96782513,647225,215801105,,,132542,66608458,267860,147791051,,,29063,14406820,30650,14613451,,,,,,
2021-09-11,US,260789,210177216,428931,178328389,602389,387765167,,,275548,97058061,616282,216417387,,,124524,66732982,254512,148045563,,,28394,14435214,29816,14643267,,,,,,
2021-09-12,US,158584,210335800,364486,178692875,353429,388118596,,,235498,97293559,534281,216951668,,,105990,66838972,210157,148255720,,,22719,14457933,24114,14667381,,,,,,
2021-09-13,US,338905,210674705,0,178692875,785104,388903700,,,0,97293559,0,216951668,,,0,66838972,0,148255720,,,0,14457933,0,14667381,,,,,,
2021-09-14,US,317944,210992649,597108,179289983,754116,389657816,,,389958,97683517,845250,217796918,,,178388,67017360,335467,148591187,,,28598,14486531,29493,14696874,,,,,,
2021-09-15,US,315272,211307921,405304,179695287,768005,390425821,,,249373,97932890,556478,218353396,,,129911,67147271,256518,148847705,,,25399,14511930,26240,14723114,,,,,,
2021-09-16,US,313873,211621794,390856,180086143,765632,391191453,,,252481,98185371,518674,218872070,,,108940,67256211,197260,149044965,,,29593,14541523,27817,14750931,,,,,,
2021-09-17,US,355495,211977289,486028,180572171,909101,392100554,,,323870,98509241,649367,219521437,,,132202,67388413,274827,149319792,,,29389,14570912,30153,14781084,,,,,,
2021-09-18,US,206604,212183893,462851,181035022,524613,392625167,,,302225,98811466,616534,220137971,,,129667,67518080,266619,149586411,,,30539,14601451,31267,14812351,,,,,,
2021-09-19,US,121442,212305335,347954,181382976,310837,392936004,,,230861,99042327,462720,220600691,,,92729,67610809,186368,149772779,,,24237,14625688,24653,14837004,,,,,,
2021-09-20,US,270338,212575673,345096,181728072,701538,393637542,,,243103,99285430,469329,221070020,,,89355,67700164,168567,149941346,,,12448,14638136,13161,14850165,,,,,,
2021-09-21,US,262171,212837844,284271,182012343,681555,394319097,,,191611,99477041,375395,221445415,,,79531,67779695,153422,150094768,,,13001,14651137,13549,14863714,,,,,,
2021-09-22,US,256063,213093907,375497,182387840,669272,394988369,,,242159,99719200,483830,221929245,,,107369,67887064,201213,150295981,,,25355,14676492,25531,14889245,,,,,,
2021-09-23,US,258126,213352033,199494,182587334,679454,395667823,,,143604,99862804,218962,222148207,,,69350,67956414,119673,150415654,,,-13883,14662609,-12666,14876579,,,,,,
2021-09-24,US,322656,213674689,371362,182958696,987987,396655810,,,252636,100115440,515764,222663971,,,95178,68051592,203405,150619059,,,22919,14685528,23770,14900349,,,,,,
2021-09-25,US,202672,213877361,394630,183353326,673597,397329407,,,269700,100385140,564421,223228392,,,99955,68151547,213501,150832560,,,24306,14709834,25227,14925576,,,,,,
2021-09-26,US,120021,213997382,317544,183670870,410259,397739666,,,223695,100608835,554475,223782867,,,76945,68228492,167974,151000534,,,16344,14726178,17122,14942698,,,,,,
2021-09-27,US,298090,214295472,218037,183888907,1031036,398770702,,,160463,100769298,440475,224223342,,,50130,68278622,102030,151102564,,,7353,14733531,7809,14950507,,,,,,
2021-09-28,US,290254,214585726,0,183888907,1135715,399906417,,,0,100769298,0,224223342,,,0,68278622,0,151102564,,,0,14733531,0,14950507,,,,,,
2021-09-29,US,288330,214874056,1648358,185537265,1143291,401049708,,,312055,101081353,1089872,225313214,,,105749,68384371,208287,151310851,,,28372,14761903,26537,14977044,,,,,,
2021-09-30,US,289473,215163529,-935815,184601450,1168990,402218698,,,166317,101247670,720087,226033301,,,77432,68461803,170763,151481614,,,21581,14783484,23282,15000326,,,,,,
2021-10-01,US,317060,215480589,250966,184852416,1337914,403556612,,,167100,101414770,681259,226714560,,,62475,68524278,141010,151622624,,,20958,14804442,22634,15022960,,,,,,
2021-10-02,US,173804,215654393,291282,185143698,632163,404188775,,,186763,101601533,733028,227447588,,,80274,68604552,174087,151796711,,,23653,14828095,24404,15047364,,,,,,
2021-10-03,US,105938,215760331,348881,185492579,367779,404556554,,,251711,101853244,1056507,228504095,,,79021,68683573,169277,151965988,,,18003,14846098,18309,15065673,,,,,,
2021-10-04,US,247106,216007437,295519,185788098,988088,405544642,,,227760,102081004,852600,229356695,,,59913,68743486,123758,152089746,,,7680,14853778,7842,15073515,,,,,,
2021-10-05,US,244048,216251485,272048,186060146,1020368,406565010,,,199687,102280691,666453,230023148,,,58524,68802010,117424,152207170,,,13712,14867490,14172,15087687,,,,,,
2021-10-06,US,248220,216499705,325605,186385751,1036207,407601217,,,219220,102499911,771949,230795097,,,86843,68888853,164048,152371218,,,18957,14886447,19519,15107206,,,,,,
2021-10-07,US,253702,216753407,232433,186618184,1037900,408639117,,,163356,102663267,721796,231516893,,,49725,68938578,134097,152505315,,,18891,14905338,19410,15126616,,,,,,
2021-10-08,US,285576,217038983,299737,186917921,1164300,409803417,,,216357,102879624,944973,232461866,,,64815,69003393,151740,152657055,,,18121,14923459,18732,15145348,,,,,,
2021-10-09,US,146897,217185880,297550,187215471,537233,410340650,,,204297,103083921,931420,233393286,,,71896,69075289,182970,152840025,,,20717,14944176,33436,15178784,,,,,,
2021-10-10,US,92233,217278113,0,187215471,315614,410656264,,,0,103083921,0,233393286,,,0,69075289,0,152840025,,,0,14944176,0,15178784,,,,,,
2021-10-11,US,223624,217501737,0,187215471,855603,411511867,,,0,103083921,0,233393286,,,0,69075289,0,152840025,,,0,14944176,0,15178784,,,,,,
2021-10-12,US,228375,217730112,499358,187714829,932329,412444196,,,351671,103435592,1474165,234867451,,,117795,69193084,251861,153091886,,,29394,14973570,30000,15208784,,,,,,
2021-10-13,US,227000,217957112,222730,187937559,912452,413356648,,,148786,103584378,651457,235518908,,,57245,69250329,124816,153216702,,,16322,14989892,16827,15225611,,,,,,
2021-10-14,US,225956,218183068,344188,188281747,916478,414273126,,,247154,103831532,890687,236409595,,,72048,69322377,152406,153369108,,,24593,15014485,25119,15250730,,,,,,
2021-10-15,US,261265,218444333,373449,188655196,1059913,415333039,,,259979,104091511,916132,237325727,,,85469,69407846,179879,153548987,,,27480,15041965,28206,15278936,,,,,,
2021-10-16,US,140313,218584646,247287,188902483,493520,415826559,,,168883,104260394,722512,238048239,,,59249,69467095,132403,153681390,,,18657,15060622,19233,15298169,,,,,,
2021-10-17,US,83378,218668024,238998,189141481,270449,416097008,,,168674,104429068,687945,238736184,,,54853,69521948,114141,153795531,,,15171,15075793,15563,15313732,,,,,,
2021-10-18,US,222114,218890138,151078,189292559,835162,416932170,,,109611,104538679,452900,239189084,,,32583,69554531,69627,153865158,,,8846,15084639,8981,15322713,,,,,,
2021-10-19,US,201422,219091560,195234,189487793,826367,417758537,,,134302,104672981,520912,239709996,,,48616,69603147,105172,153970330,,,12166,15096805,13996,15336709,,,,,,
2021-10-20,US,202227,219293787,221917,189709710,841045,418599582,,,152746,104825727,614763,240324759,,,52255,69655402,116973,154087303,,,16550,15113355,17164,15353873,,,,,,
2021-10-21,US,206043,219499830,214737,189924447,864258,419463840,,,150365,104976092,670211,240994970,,,47361,69702763,132281,154219584,,,16784,15130139,17392,15371265,,,,,,
2021-10-22,US,290927,219790757,255106,190179553,1384209,420848049,,,170270,105146362,777546,241772516,,,62378,69765141,149678,154369262,,,21742,15151881,22482,15393747,,,,,,
2021-10-23,US,174755,219965512,222709,190402262,829822,421677871,,,146680,105293042,712681,242485197,,,55137,69820278,157083,154526345,,,20526,15172407,21661,15415408,,,,,,
2021-10-24,US,106978,220072490,176442,190578704,473494,422151365,,,117527,105410569,561562,243046759,,,43995,69864273,209301,154735646,,,14690,15187097,17287,15432695,,,,,,
2021-10-25,US,299734,220372224,121086,190699790,1530051,423681416,,,80488,105491057,400369,243447128,,,31738,69896011,244648,154980294,,,8815,15195912,11539,15444234,,,,,,
2021-10-26,US,295871,220668095,93310,190793100,1569695,425251111,,,69257,105560314,409437,243856565,,,14807,69910818,287379,155267673,,,9229,15205141,13013,15457247,,,,,,
2021-10-27,US,304170,220972265,197650,190990750,1627470,426878581,,,116209,105676523,580267,244436832,,,60106,69970924,531367,155799040,,,20924,15226065,29003,15486250,,,,,,
2021-10-28,US,293622,221265887,251682,191242432,1615230,428493811,,,151581,105828104,800779,245237611,,,77302,70048226,803687,156602727,,,22398,15248463,34904,15521154,,,,,,
2021-10-29,US,322119,221588006,755437,191997869,1792638,430286449,,,487203,106315307,594260,245831871,,,243121,70291347,602509,157205236,,,25027,15273490,28182,15549336,,,,,,
2021-10-30,US,165187,221753193,247058,192244927,820730,431107179,,,138964,106454271,741315,246573186,,,81387,70372734,848527,158053763,,,26164,15299654,45005,15594341,,,,,,
