date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-31,US,321037,29777542,127929,7389571,460027,37905983,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,US,776442,30553984,579314,7968885,1402046,39308029,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,US,962489,31516473,701363,8670248,1701622,41009651,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,US,1258743,32775216,836874,9507122,2144101,43153752,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,US,1384545,34159761,916124,10423246,2349520,45503272,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,US,1355072,35514833,963847,11387093,2362423,47865695,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,US,851583,36366416,423163,11810256,1303452,49169147,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,US,276316,36642732,157880,11968136,445373,49614520,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,US,837563,37480295,706789,12674925,1584222,51198742,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,US,1036607,38516902,898598,13573523,1979236,53177978,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,US,1229502,39746404,1040264,14613787,2313073,55491051,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,US,1276759,41023163,1093995,15707782,2415605,57906656,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,US,1381679,42404842,1160714,16868496,2595997,60502653,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,US,871399,43276241,571699,17440195,1477957,61980610,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,US,345350,43621591,230446,17670641,593091,62573701,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,US,610663,44232254,537535,18208176,1183803,63757504,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,US,798476,45030730,790182,18998358,1628563,65386067,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,US,936511,45967241,991978,19990336,1974946,67361013,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,US,836175,46803416,977119,20967455,1866800,69227813,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,US,824038,47627454,1098731,22066186,1974245,71202058,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,US,597457,48224911,682162,22748348,1310627,72512685,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,US,254895,48479806,324970,23073318,599227,73111912,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,US,616821,49096627,805111,23878429,1467366,74579278,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,US,866286,49962913,1028911,24907340,1944109,76523387,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,US,1244409,51207322,1236098,26143438,2531686,79055073,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,US,1537037,52744359,1344126,27487564,2943381,81998454,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,US,1672816,54417175,1385111,28872675,3119383,85117837,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,US,1138857,55556032,819094,29691769,1996630,87114467,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,US,533733,56089765,296924,29988693,857342,87971809,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,US,1212294,57302059,804304,30792997,2079383,90051192,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,US,1465560,58767619,965193,31758190,2471921,92523113,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,US,1741986,60509605,1130747,32888937,2912697,95435810,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,US,1956524,62466129,1248050,34136987,3209514,98645324,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,US,2005639,64471768,1313633,35450620,3239684,101885008,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,US,1351606,65823374,868927,36319547,2066611,103951619,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,US,678437,66501811,349569,36669116,932091,104883710,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,US,1484203,67986014,855849,31493040,2171451,107055161,,,,16779220,,46824290,,,,14480460,,44936695,,,,207804,,208590,,,,,,
2021-03-09,US,1814757,69800771,609021,32102061,2721459,109776620,,,227476,17006696,803936,47628226,,,282177,14762637,699045,45635740,,,99308,307112,99591,308181,,,,,,
2021-03-10,US,2079708,71880479,802100,32904161,3150579,112927199,,,294404,17301100,976933,48605159,,,357074,15119711,899906,46535646,,,150258,457370,150730,458911,,,,,,
2021-03-11,US,2292021,74172500,958966,33863127,3462879,116390078,,,320540,17621640,1103761,49708920,,,459162,15578873,1198010,47733656,,,178885,636255,179558,638469,,,,,,
2021-03-12,US,2124420,76296920,1137032,35000159,3437498,119827576,,,352126,17973766,1251480,50960400,,,550007,16128880,1435922,49169578,,,234571,870826,235257,873726,,,,,,
2021-03-13,US,1382996,77679916,0,35000159,2193892,122021468,,,0,17973766,0,50960400,,,0,16128880,0,49169578,,,0,870826,0,873726,,,,,,
2021-03-14,US,647026,78326942,2459110,37459269,984364,123005832,,,827311,18801077,2747691,53708091,,,1234022,17362902,2782242,51951820,,,397113,1267939,400232,1273958,,,,,,
2021-03-15,US,1495155,79822097,876163,38335432,2278525,125284357,,,288809,19089886,935490,54643581,,,434580,17797482,931443,52883263,,,152736,1420675,154507,1428465,,,,,,
2021-03-16,US,1930558,81752655,706913,39042345,2888424,128172781,,,220664,19310550,749560,55393141,,,345541,18143023,764049,53647312,,,140636,1561311,141210,1569675,,,,,,
2021-03-17,US,2125020,83877675,946851,39989196,3167533,131340314,,,371349,19681899,1105877,56499018,,,379473,18522496,995883,54643195,,,195615,1756926,196456,1766131,,,,,,
2021-03-18,US,2288593,86166268,992268,40981464,3397843,134738157,,,418959,20100858,1377857,57876875,,,429394,18951890,1168091,55811286,,,143493,1900419,144921,1911052,,,,,,
2021-03-19,US,2200175,88366443,953165,41934629,3316212,138054369,,,440741,20541599,1337849,59214724,,,398199,19350089,1130354,56941640,,,113865,2014284,114297,2025349,,,,,,
2021-03-20,US,1415777,89782220,1102189,43036818,2161542,140215911,,,557934,21099533,1634903,60849627,,,407961,19758050,1352943,58294583,,,135825,2150109,138332,2163681,,,,,,
2021-03-21,US,682649,90464869,1104410,44141228,1024346,141240257,,,608264,21707797,1679791,62529418,,,363062,20121112,1224257,59518840,,,132763,2282872,134933,2298614,,,,,,
2021-03-22,US,1596852,92061721,769718,44910946,2352678,143592935,,,443285,22151082,1164303,63693721,,,219031,20340143,756163,60275003,,,107344,2390216,107723,2406337,,,,,,
2021-03-23,US,1973439,94035160,623016,45533962,3053366,146646301,,,363179,22514261,985938,64679659,,,177161,20517304,638289,60913292,,,82599,2472815,82816,2489153,,,,,,
